,time,theta,phi,theta_dot,phi_dot,timestep
0,0.0,-1.0471975511965976,0.0,0.0,0.0,0.01
1,0.01,-1.0472833744,-2.86289e-05,-0.0085823249,-0.0028628864,0.01
2,0.02,-1.04745501,-8.58749e-05,-0.0171635562,-0.0057245978,0.01
3,0.03,-1.047712436,-0.0001717145,-0.0257426003,-0.0085839594,0.01
4,0.04,-1.0480556196,-0.0002861125,-0.0343183636,-0.0114397965,0.01
5,0.05,-1.0484845171,-0.0004290218,-0.0428897522,-0.0142909344,0.01
6,0.06,-1.0489990738,-0.0006003838,-0.0514556721,-0.0171361987,0.01
7,0.07,-1.0495992241,-0.000800128,-0.0600150292,-0.0199744151,0.01
8,0.08,-1.0502848914,-0.0010281721,-0.0685667291,-0.0228044096,0.01
9,0.09,-1.0510559882,-0.0012844222,-0.0771096772,-0.0256250084,0.01
10,0.1,-1.051912416,-0.0015687726,-0.0856427785,-0.0284350383,0.01
11,0.11,-1.0528540654,-0.0018811059,-0.0941649378,-0.0312333263,0.01
12,0.12,-1.053880816,-0.0022212929,-0.1026750594,-0.0340187001,0.01
13,0.13,-1.0549925365,-0.0025891928,-0.1111720472,-0.0367899879,0.01
14,0.14,-1.0561890845,-0.002984653,-0.1196548047,-0.0395460186,0.01
15,0.15,-1.0574703068,-0.0034075092,-0.128122235,-0.0422856219,0.01
16,0.16,-1.0588360392,-0.0038575855,-0.1365732406,-0.0450076283,0.01
17,0.17,-1.0602861064,-0.0043346942,-0.1450067236,-0.0477108695,0.01
18,0.18,-1.0618203223,-0.004838636,-0.1534215854,-0.0503941781,0.01
19,0.19,-1.0634384896,-0.0053691999,-0.1618167269,-0.0530563882,0.01
20,0.2,-1.0651404001,-0.0059261633,-0.1701910484,-0.0556963352,0.01
21,0.21,-1.0669258346,-0.0065092919,-0.1785434495,-0.0583128561,0.01
22,0.22,-1.0687945629,-0.0071183398,-0.1868728293,-0.0609047898,0.01
23,0.23,-1.0707463438,-0.0077530496,-0.1951780861,-0.063470977,0.01
24,0.24,-1.072780925,-0.0084131522,-0.2034581177,-0.0660102607,0.01
25,0.25,-1.0748980432,-0.0090983671,-0.211711821,-0.0685214864,0.01
26,0.26,-1.0770974241,-0.0098084021,-0.2199380923,-0.071003502,0.01
27,0.27,-1.0793787824,-0.0105429537,-0.2281358273,-0.0734551585,0.01
28,0.28,-1.0817418216,-0.0113017068,-0.2363039208,-0.07587531,0.01
29,0.29,-1.0841862343,-0.0120843349,-0.2444412669,-0.0782628141,0.01
30,0.3,-1.0867117019,-0.0128905002,-0.2525467591,-0.0806165322,0.01
31,0.31,-1.0893178948,-0.0137198535,-0.2606192902,-0.0829353296,0.01
32,0.32,-1.0920044723,-0.0145720343,-0.2686577522,-0.0852180761,0.01
33,0.33,-1.0947710827,-0.0154466708,-0.2766610364,-0.0874636464,0.01
34,0.34,-1.097617363,-0.01634338,-0.2846280334,-0.0896709202,0.01
35,0.35,-1.1005429393,-0.0172617678,-0.2925576332,-0.0918387828,0.01
36,0.36,-1.1035474266,-0.0182014291,-0.3004487251,-0.0939661254,0.01
37,0.37,-1.1066304286,-0.0191619476,-0.3083001979,-0.0960518456,0.01
38,0.38,-1.109791538,-0.0201428961,-0.3161109396,-0.0980948477,0.01
39,0.39,-1.1130303364,-0.0211438365,-0.3238798378,-0.1000940434,0.01
40,0.4,-1.1163463942,-0.02216432,-0.3316057795,-0.1020483521,0.01
41,0.41,-1.1197392707,-0.023203887,-0.3392876512,-0.1039567014,0.01
42,0.42,-1.1232085141,-0.0242620673,-0.346924339,-0.1058180276,0.01
43,0.43,-1.1267536614,-0.0253383801,-0.3545147286,-0.1076312762,0.01
44,0.44,-1.1303742385,-0.0264323341,-0.3620577054,-0.1093954027,0.01
45,0.45,-1.13406976,-0.0275434278,-0.3695521544,-0.1111093728,0.01
46,0.46,-1.1378397296,-0.0286711494,-0.3769969605,-0.1127721631,0.01
47,0.47,-1.1416836397,-0.029814977,-0.3843910085,-0.1143827618,0.01
48,0.48,-1.1456009715,-0.0309743787,-0.3917331831,-0.1159401692,0.01
49,0.49,-1.1495911952,-0.0321488127,-0.3990223689,-0.1174433982,0.01
