,time,theta,phi,theta_dot,phi_dot,timestep
0,0.0,-1.0471975511965976,0.0,0.0,0.0,0.01
1,0.01,-1.0472833744,-2.86289e-05,-0.0085823249,-0.0028628864,0.01
2,0.02,-1.04745501,-8.58749e-05,-0.0171635562,-0.005724598,0.01
3,0.03,-1.047712436,-0.0001717145,-0.0257426003,-0.00858396,0.01
4,0.04,-1.0480556196,-0.0002861125,-0.0343183636,-0.0114397976,0.01
5,0.05,-1.0484845171,-0.0004290219,-0.0428897522,-0.0142909362,0.01
6,0.06,-1.0489990738,-0.0006003839,-0.0514556721,-0.0171362013,0.01
7,0.07,-1.0495992241,-0.0008001281,-0.0600150292,-0.0199744186,0.01
8,0.08,-1.0502848914,-0.0010281722,-0.0685667291,-0.0228044142,0.01
9,0.09,-1.0510559882,-0.0012844223,-0.0771096772,-0.0256250143,0.01
10,0.1,-1.051912416,-0.0015687728,-0.0856427785,-0.0284350456,0.01
11,0.11,-1.0528540654,-0.0018811062,-0.0941649377,-0.0312333352,0.01
12,0.12,-1.053880816,-0.0022212933,-0.1026750592,-0.0340187107,0.01
13,0.13,-1.0549925365,-0.0025891933,-0.1111720469,-0.0367900003,0.01
14,0.14,-1.0561890845,-0.0029846536,-0.1196548044,-0.0395460329,0.01
15,0.15,-1.0574703068,-0.00340751,-0.1281222346,-0.0422856382,0.01
16,0.16,-1.0588360392,-0.0038575865,-0.1365732402,-0.0450076468,0.01
17,0.17,-1.0602861064,-0.0043346954,-0.1450067231,-0.0477108903,0.01
18,0.18,-1.0618203222,-0.0048386374,-0.1534215848,-0.0503942014,0.01
19,0.19,-1.0634384895,-0.0053692015,-0.1618167262,-0.053056414,0.01
20,0.2,-1.0651404,-0.0059261651,-0.1701910476,-0.0556963636,0.01
21,0.21,-1.0669258345,-0.006509294,-0.1785434486,-0.0583128873,0.01
22,0.22,-1.0687945628,-0.0071183422,-0.1868728283,-0.0609048238,0.01
23,0.23,-1.0707463437,-0.0077530523,-0.1951780851,-0.063471014,0.01
24,0.24,-1.0727809249,-0.0084131553,-0.2034581166,-0.0660103008,0.01
25,0.25,-1.0748980431,-0.0090983706,-0.2117118198,-0.0685215296,0.01
26,0.26,-1.077097424,-0.0098084061,-0.2199380911,-0.0710035485,0.01
27,0.27,-1.0793787823,-0.0105429582,-0.228135826,-0.0734552084,0.01
28,0.28,-1.0817418215,-0.0113017118,-0.2363039194,-0.0758753634,0.01
29,0.29,-1.0841862342,-0.0120843405,-0.2444412655,-0.0782628711,0.01
30,0.3,-1.0867117018,-0.0128905064,-0.2525467577,-0.0806165927,0.01
31,0.31,-1.0893178947,-0.0137198603,-0.2606192887,-0.0829353937,0.01
32,0.32,-1.0920044722,-0.0145720417,-0.2686577506,-0.085218144,0.01
33,0.33,-1.0947710825,-0.0154466789,-0.2766610347,-0.0874637181,0.01
34,0.34,-1.0976173628,-0.0163433889,-0.2846280316,-0.0896709958,0.01
35,0.35,-1.1005429391,-0.0172617775,-0.2925576314,-0.0918388623,0.01
36,0.36,-1.1035474263,-0.0182014396,-0.3004487233,-0.0939662088,0.01
37,0.37,-1.1066304283,-0.0191619589,-0.308300196,-0.096051933,0.01
38,0.38,-1.1097915377,-0.0201429083,-0.3161109377,-0.0980949391,0.01
39,0.39,-1.1130303361,-0.0211438497,-0.3238798359,-0.1000941389,0.01
40,0.4,-1.1163463939,-0.0221643342,-0.3316057776,-0.1020484516,0.01
41,0.41,-1.1197392704,-0.0232039022,-0.3392876493,-0.1039568049,0.01
42,0.42,-1.1232085138,-0.0242620836,-0.3469243371,-0.1058181351,0.01
43,0.43,-1.1267536611,-0.0253383975,-0.3545147267,-0.1076313878,0.01
44,0.44,-1.1303742381,-0.0264323527,-0.3620577035,-0.1093955183,0.01
45,0.45,-1.1340697596,-0.0275434476,-0.3695521525,-0.1111094924,0.01
46,0.46,-1.1378397292,-0.0286711705,-0.3769969587,-0.1127722867,0.01
47,0.47,-1.1416836393,-0.0298149994,-0.3843910068,-0.1143828894,0.01
48,0.48,-1.1456009711,-0.0309744024,-0.3917331814,-0.1159403007,0.01
49,0.49,-1.1495911948,-0.0321488377,-0.3990223673,-0.1174435336,0.01
