,time,theta,phi,theta_dot,phi_dot,timestep
0,0.0,-1.0471975511965976,0.0,0.0,0.0,0.1
1,0.1,-1.0557798761,-0.0028628864,-0.0858232491,-0.0286288636,0.1
2,0.2,-1.0727801778,-0.0084116229,-0.1700030173,-0.0554873646,0.1
3,0.3,-1.0979246572,-0.0163548158,-0.251444794,-0.079431929,0.1
4,0.4,-1.1308297791,-0.026291233,-0.3290512193,-0.0993641719,0.1
5,0.5,-1.1710020963,-0.0377177204,-0.4017231724,-0.1142648736,0.1
6,0.6,-1.2178386134,-0.050042134,-0.4683651715,-0.1232441358,0.1
7,0.7,-1.2706282738,-0.0626024698,-0.5278966043,-0.1256033578,0.1
8,0.8,-1.3285552891,-0.0746924915,-0.579270153,-0.120900217,0.1
9,0.9,-1.3907051069,-0.0855929738,-0.6214981779,-0.1090048234,0.1
10,1.0,-1.4560737734,-0.0946064506,-0.6536866653,-0.0901347683,0.1
11,1.1,-1.5235812442,-0.101092406,-0.6750747081,-0.0648595543,0.1
12,1.2,-1.5920888147,-0.1044994609,-0.6850757051,-0.0340705494,0.1
13,1.3,-1.6604203224,-0.1043914374,-0.6833150773,0.0010802349,0.1
14,1.4,-1.7273862095,-0.1004651731,-0.6696588705,0.0392626429,0.1
15,1.5,-1.791809058,-0.0925593558,-0.6442284849,0.0790581734,0.1
16,1.6,-1.8525489454,-0.0806550913,-0.6073988735,0.1190426451,0.1
17,1.7,-1.908526985,-0.064870059,-0.559780396,0.1578503229,0.1
18,1.8,-1.9587457214,-0.0454487147,-0.5021873638,0.1942134432,0.1
19,1.9,-2.0023055685,-0.0227510067,-0.4355984708,0.2269770799,0.1
20,2.0,-2.0384171011,0.0027584417,-0.3611153259,0.2550944839,0.1
21,2.1,-2.0664096125,0.0305195906,-0.2799251136,0.2776114894,0.1
22,2.2,-2.0857368335,0.0598845923,-0.1932722095,0.2936500173,0.1
23,2.3,-2.0959810063,0.0901246192,-0.1024417283,0.302400269,0.1
24,2.4,-2.0968565893,0.1204375408,-0.0087558296,0.303129216,0.1
25,2.5,-2.0882147298,0.1499585191,0.0864185953,0.295209783,0.1
26,2.6,-2.0700492983,0.1777756175,0.1816543146,0.2781709842,0.1
27,2.7,-2.0425047472,0.2029520736,0.2754455107,0.251764561,0.1
28,2.8,-2.0058853907,0.2245559692,0.3661935645,0.216038956,0.1
29,2.9,-1.9606649744,0.24169673,0.4522041631,0.1714076075,0.1
30,3.0,-1.9074947216,0.2535663944,0.5317025281,0.1186966445,0.1
31,3.1,-1.847207562,0.2594822062,0.6028715964,0.0591581185,0.1
32,3.2,-1.7808161159,0.2589261486,0.6639144613,-0.0055605761,0.1
33,3.3,-1.7095023504,0.251576859,0.7131376548,-0.0734928961,0.1
34,3.4,-1.6345976696,0.2373300905,0.7490468078,-0.1424676853,0.1
35,3.5,-1.5575534524,0.2163054443,0.7704421722,-0.210246462,0.1
36,3.6,-1.4799034781,0.188839175,0.7764997434,-0.2746626925,0.1
37,3.7,-1.4032209638,0.1554649886,0.7668251433,-0.3337418639,0.1
38,3.8,-1.3290737688,0.1168864173,0.7414719505,-0.3857857129,0.1
39,3.9,-1.2589814946,0.0739451999,0.7009227419,-0.4294121738,0.1
40,4.0,-1.1943776927,0.0275899837,0.6460380188,-0.4635521617,0.1
41,4.1,-1.1365793267,-0.0211512907,0.5779836602,-0.4874127444,0.1
42,4.2,-1.0867642896,-0.0711934673,0.4981503713,-0.5004217656,0.1
43,4.3,-1.0459564425,-0.1214105519,0.4080784705,-0.5021708456,0.1
44,4.4,-1.0150165659,-0.1706477697,0.3093987662,-0.492372178,0.1
45,4.5,-0.9946369492,-0.2177318242,0.2037961674,-0.4708405452,0.1
46,4.6,-0.9853371475,-0.2614824757,0.092998017,-0.4375065149,0.1
47,4.7,-0.9874586814,-0.3007285452,-0.0212153385,-0.3924606955,0.1
48,4.8,-1.0011570919,-0.3343308324,-0.1369841053,-0.3360228718,0.1
49,4.9,-1.026390706,-0.3612132681,-0.2523361411,-0.2688243572,0.1
50,5.0,-1.0629066117,-0.3804020309,-0.365159057,-0.1918876278,0.1
51,5.1,-1.1102255616,-0.3910705361,-0.4731894995,-0.106685052,0.1
52,5.2,-1.1676286348,-0.3925864531,-0.5740307319,-0.0151591699,0.1
53,5.3,-1.2341492701,-0.3845555695,-0.6652063527,0.0803088358,0.1
54,5.4,-1.3085745011,-0.3668567654,-0.7442523105,0.1769880406,0.1
55,5.5,-1.3894586773,-0.3396628513,-0.8088417621,0.2719391413,0.1
56,5.6,-1.4751515878,-0.3034436303,-0.8569291051,0.3621922102,0.1
57,5.7,-1.5638408688,-0.2589500575,-0.8868928102,0.4449357282,0.1
58,5.8,-1.6536062508,-0.2071812887,-0.89765382,0.5176876875,0.1
59,5.9,-1.742481139,-0.1493390714,-0.8887488819,0.578422173,0.1
60,6.0,-1.8285157619,-0.0867756712,-0.8603462288,0.6256340023,0.1
