,time,theta,phi,theta_dot,phi_dot,timestep
0,0.0,-1.0471975511965976,0.0,0.0,0.0,0.1
1,0.1,-1.055779876036931,-0.0028628888305000004,-0.08582324840333333,-0.028628888305000003,0.1
2,0.2,-1.072834960145931,-0.008470649335833334,-0.17055084109,-0.05607760505333334,0.1
3,0.3,-1.0981433071899311,-0.016587826863,-0.25308347044,-0.08117177527166668,0.1
4,0.4,-1.1313748583482646,-0.026863440145500003,-0.33231551158333333,-0.10275613282500001,0.1
5,0.5,-1.1720883013380978,-0.03883557519750001,-0.40713442989833337,-0.11972135052000002,0.1
6,0.6,-1.2197306535880978,-0.05194031939400001,-0.47642352250000003,-0.131047441965,0.1
7,0.7,-1.2736375973957645,-0.06552658642833335,-0.5390694380766667,-0.13586267034333335,0.1
8,0.8,-1.3330351958537645,-0.07887780711966669,-0.5939759845800001,-0.13351220691333335,0.1
9,0.9,-1.3970437459319311,-0.09124045817950002,-0.6400855007816668,-0.12362651059833335,0.1
10,1.0,-1.464684581060098,-0.10185813903066669,-0.6764083512816668,-0.10617680851166668,0.1
11,1.1,-1.534890563004598,-0.11000866822233336,-0.7020598194450001,-0.08150529191666668,0.1
12,1.2,-1.6065207567872646,-0.1150407899506667,-0.7163019378266667,-0.050321217283333344,0.1
13,1.3,-1.6783793557870978,-0.11640683920533337,-0.7185859899983335,-0.01366049254666668,0.1
14,1.4,-1.7492383667170979,-0.11368823345583337,-0.7085901093000001,0.027186057494999985,0.1
15,1.5,-1.8178629818189311,-0.1066118438786667,-0.6862461510183334,0.07076389577166664,0.1
16,1.6,-1.883038094950931,-0.09505685784550004,-0.6517511313200001,0.11554986033166664,0.1
17,1.7,-1.943594183784431,-0.07905328516750004,-0.6055608883350001,0.16003572677999997,0.1
18,1.8,-1.998430852469431,-0.05877442061833338,-0.5483666868500001,0.20278864549166664,0.1
19,1.9,-2.046536701325931,-0.03452612465133338,-0.4810584885650001,0.24248295966999997,0.1
20,2.0,-2.087004784196931,-0.006735668233500049,-0.4046808287100001,0.2779045641783333,0.1
21,2.1,-2.119043608596264,0.024057795585833285,-0.32038824399333343,0.30793463819333333,0.1
22,2.2,-2.141984300687431,0.057210131288333285,-0.22940692091166676,0.331523357025,0.1
23,2.3,-2.155285091231764,0.0919767091953333,-0.1330079054433334,0.34766577907,0.1
24,2.4,-2.158534610745764,0.12751587426216662,-0.03249519514000006,0.35539165066833334,0.1
25,2.5,-2.1514555763770975,0.1628937388426666,0.0707903436866666,0.353778645805,0.1
26,2.6,-2.1339102958127643,0.19709321676216662,0.17545280564333327,0.341994779195,0.1
27,2.7,-2.105909003660931,0.22903027390149996,0.28001292151833324,0.3193705713933333,0.1
28,2.8,-2.067621393943931,0.2575798039563333,0.38287609716999993,0.2854953005483333,0.1
29,2.9,-2.019390853148431,0.28161230608583326,0.48230540795499993,0.24032502129499994,0.1
30,3.0,-1.961749910624931,0.30004072465933324,0.5764094252349999,0.18428418573499994,0.1
31,3.1,-1.8954344488490977,0.3118746595128332,0.6631546177583333,0.11833934853499994,0.1
32,3.2,-1.8213934613215979,0.3162770890843332,0.7404098752749999,0.04402429571499994,0.1
33,3.3,-1.7407908512992645,0.3126172938159999,0.8060261002233332,-0.03659795268333341,0.1
34,3.4,-1.654996139554931,0.30051331229733325,0.8579471174433332,-0.12103981518666675,0.1
35,3.5,-1.5655620846150977,0.27985828514883326,0.8943405493983332,-0.20655027148500008,0.1
36,3.6,-1.474189009583931,0.2508273665301666,0.9137307503116665,-0.29030918618666673,0.1
37,3.7,-1.382677752242431,0.21386504911633322,0.9151125734149999,-0.3696231741383334,0.1
38,3.8,-1.2928751279157642,0.1696560163244999,0.8980262432666665,-0.44209032791833336,0.1
39,3.9,-1.2066171164822643,0.11908521109516655,0.8625801143349998,-0.5057080522933334,0.1
40,4.0,-1.1256753030517643,0.06319409499549988,0.8094181343049999,-0.5589111609966667,0.1
41,4.1,-1.0517113351050977,0.003139837303666543,0.7396396794666665,-0.6005425769183333,0.1
42,4.2,-0.9862425186205978,-0.059837403423833466,0.6546881648449998,-0.6297724072750001,0.1
43,4.3,-0.9306195771059311,-0.12443639428200014,0.5562294151466665,-0.6459899085816667,0.1
44,4.4,-0.8860155096187645,-0.18930597625433349,0.44604067487166643,-0.6486958197233333,0.1
45,4.5,-0.8534227903789312,-0.2530480089853335,0.3259271923983331,-0.63742032731,0.1
46,4.6,-0.8336550771355979,-0.3142166147726668,0.19767713243333312,-0.6116860578733333,0.1
47,4.7,-0.8273492044849313,-0.37131936815916683,0.06305872650666647,-0.5710275338649999,0.1
48,4.8,-0.8349634950162647,-0.4228263240641668,-0.07614290531333351,-0.51506955905,0.1
49,4.9,-0.8567692500759313,-0.46719208007450014,-0.21805755059666684,-0.4436575601033333,0.1
50,5.0,-0.892833610126098,-0.5028944185536668,-0.36064360050166683,-0.3570233847916666,0.1
51,5.1,-0.9429937329174313,-0.5284905331811668,-0.5016012279133335,-0.255961146275,0.1
52,5.2,-1.0068243238307646,-0.5426886102108335,-0.6383059091333335,-0.14198077029666667,0.1
53,5.3,-1.0836027734137645,-0.5444290051601668,-0.7677844958300002,-0.017403949493333334,0.1
54,5.4,-1.172278175817598,-0.5329660475381668,-0.8867540240383336,0.11462957621999999,0.1
55,5.5,-1.2714518302482647,-0.5079393917171668,-0.9917365443066669,0.25026655821,0.1
56,5.6,-1.3793768999772646,-0.4694235764065002,-1.0792506972900002,0.3851581531066667,0.1
57,5.7,-1.493983256105098,-0.41794656942100017,-1.1460635612783336,0.514770069855,0.1
58,5.8,-1.6129300596070981,-0.3544725436835002,-1.1894680350200002,0.634740257375,0.1
59,5.9,-1.7336838112365982,-0.2803502313808335,-1.2075375162950002,0.7412231230266666,0.1
