,time,theta,phi,theta_dot,phi_dot,timestep
0,0.0,0.5235987755982988,0.0,0.0,0.0,0.001
1,0.001,0.5235953789,1.4145e-06,-0.0033966687,0.0014144915,0.001
2,0.002,0.5235885855,4.2435e-06,-0.0067933505,0.0028289927,0.001
3,0.003,0.5235783954,8.487e-06,-0.0101900541,0.0042435101,0.001
4,0.004,0.5235648086,1.41451e-05,-0.0135867884,0.0056580502,0.001
5,0.005,0.523547825,2.12177e-05,-0.016983562,0.0070726195,0.001
6,0.006,0.5235274446,2.97049e-05,-0.0203803837,0.0084872244,0.001
7,0.007,0.5235036673,3.96068e-05,-0.0237772623,0.0099018715,0.001
8,0.008,0.5234764931,5.09234e-05,-0.0271742065,0.0113165672,0.001
9,0.009,0.5234459219,6.36547e-05,-0.030571225,0.012731318,0.001
10,0.01,0.5234119536,7.78008e-05,-0.0339683266,0.0141461303,0.001
11,0.011,0.5233745881,9.33618e-05,-0.03736552,0.0155610107,0.001
12,0.012,0.5233338253,0.0001103378,-0.040762814,0.0169759656,0.001
13,0.013,0.5232896651,0.0001287288,-0.0441602173,0.0183910015,0.001
14,0.014,0.5232421074,0.0001485349,-0.0475577387,0.0198061249,0.001
15,0.015,0.523191152,0.0001697562,-0.0509553868,0.0212213422,0.001
16,0.016,0.5231367988,0.0001923929,-0.0543531704,0.0226366599,0.001
17,0.017,0.5230790477,0.000216445,-0.0577510983,0.0240520845,0.001
18,0.018,0.5230178985,0.0002419126,-0.0611491791,0.0254676224,0.001
19,0.019,0.5229533511,0.0002687959,-0.0645474216,0.0268832801,0.001
20,0.02,0.5228854053,0.000297095,-0.0679458345,0.0282990641,0.001
21,0.021,0.5228140609,0.00032681,-0.0713444265,0.0297149808,0.001
22,0.022,0.5227393177,0.000357941,-0.0747432064,0.0311310367,0.001
23,0.023,0.5226611755,0.0003904882,-0.0781421828,0.0325472382,0.001
24,0.024,0.5225796341,0.0004244518,-0.0815413645,0.0339635918,0.001
