,time,theta,phi,theta_dot,phi_dot,timestep
0,0.0,0.0,0.0,0.0,0.0,0.1
1,0.1,-0.0392316327,0.016346354,-0.3923163274,0.16346354,0.1
2,0.2,-0.1175663974,0.0489024471,-0.7833476473,0.3255609306,0.1
3,0.3,-0.2343260846,0.0970137831,-1.1675968717,0.4811133596,0.1
4,0.4,-0.3876619606,0.158985859,-1.5333587604,0.619720759,0.1
5,0.5,-0.5737845774,0.231446775,-1.8612261677,0.7246091603,0.1
6,0.6,-0.7863089582,0.3088599764,-2.1252438079,0.7741320136,0.1
7,0.7,-1.0160833557,0.3835351629,-2.2977439755,0.7467518648,0.1
8,0.8,-1.2518281428,0.4464217468,-2.3574478714,0.6288658388,0.1
9,0.9,-1.4815859884,0.4886282041,-2.2975784557,0.422064573,0.1
10,1.0,-1.6945124887,0.5031502126,-2.1292650034,0.1452200854,0.1
11,1.1,-1.8823049027,0.4861018964,-1.8779241403,-0.1704831617,0.1
12,1.2,-2.0398024923,0.4370646937,-1.5749758962,-0.4903720271,0.1
13,1.3,-2.1647670178,0.3587349192,-1.249645255,-0.7832977455,0.1
14,1.4,-2.2571756829,0.2558342075,-0.9240866512,-1.0290071173,0.1
15,1.5,-2.3184180027,0.1339805519,-0.6124231983,-1.2185365564,0.1
16,1.6,-2.3506542346,-0.0011586571,-0.3223623193,-1.3513920897,0.1
17,1.7,-2.3564330804,-0.1443229696,-0.0577884583,-1.4316431252,0.1
18,1.8,-2.3385532945,-0.2907608669,0.1787978593,-1.4643789734,0.1
19,1.9,-2.3001217503,-0.4360656235,0.3843154419,-1.4530475657,0.1
20,2.0,-2.244697314,-0.5758971091,0.5542443626,-1.3983148561,0.1
21,2.1,-2.1763460586,-0.7057941998,0.6835125539,-1.2989709066,0.1
22,2.2,-2.0996385109,-0.8210627808,0.7670754773,-1.1526858102,0.1
23,2.3,-2.0195254717,-0.9168107293,0.8011303923,-0.957479485,0.1
24,2.4,-1.9410842188,-0.9881390894,0.7844125291,-0.7132836011,0.1
25,2.5,-1.8691632688,-1.030460945,0.7192094996,-0.4232185564,0.1
26,2.6,-1.8079787439,-1.0398962072,0.6118452494,-0.094352622,0.1
27,2.7,-1.7607221368,-1.0136861733,0.472566071,0.2621003394,0.1
28,2.8,-1.7292296682,-0.9506698644,0.314924686,0.6301630891,0.1
29,2.9,-1.7137494166,-0.8518262192,0.1548025156,0.9884364519,0.1
30,3.0,-1.7128359484,-0.7204114068,0.0091346823,1.3141481236,0.1
31,3.1,-1.723394977,-0.5619459996,-0.1055902861,1.5846540723,0.1
32,3.2,-1.7408888385,-0.3839783496,-0.1749386152,1.7796765003,0.1
33,3.3,-1.7597318138,-0.1955862901,-0.1884297525,1.8839205955,0.1
34,3.4,-1.7738513462,-0.0066529974,-0.1411953236,1.8893329274,0.1
35,3.5,-1.7773301694,0.172971216,-0.034788232,1.7962421339,0.1
36,3.6,-1.7650583685,0.3343169426,0.1227180093,1.6134572657,0.1
37,3.7,-1.7333295928,0.4700574755,0.3172877572,1.3574053289,0.1
38,3.8,-1.680329586,0.575113901,0.5300000679,1.0505642553,0.1
39,3.9,-1.6063961108,0.6469791634,0.7393347522,0.7186526238,0.1
40,4.0,-1.5140261721,0.6857470801,0.9236993872,0.3876791665,0.1
41,4.1,-1.4076076092,0.6938372284,1.0641856293,0.0809014827,0.1
42,4.2,-1.2929042121,0.6754569114,1.1470339709,-0.1838031696,0.1
43,4.3,-1.1763855398,0.6359413712,1.1651867228,-0.3951554016,0.1
44,4.4,-1.0645372205,0.5810798747,1.1184831928,-0.548614965,0.1
45,4.5,-0.9632877923,0.5163912269,1.0124942824,-0.6468864784,0.1
46,4.6,-0.8776403251,0.4466793762,0.8564746722,-0.6971185071,0.1
47,4.7,-0.8115192306,0.3758423011,0.6612109452,-0.7083707507,0.1
48,4.8,-0.7677830679,0.3068799345,0.4373616274,-0.6896236656,0.1
49,4.9,-0.7483273882,0.242020387,0.1945567969,-0.6485954749,0.1
50,5.0,-0.7542048475,0.1828861561,-0.0587745928,-0.5913423094,0.1
51,5.1,-0.7857067379,0.1306378001,-0.3150189042,-0.5224835605,0.1
52,5.2,-0.8423140404,0.0859941235,-0.5660730248,-0.4464367657,0.1
53,5.3,-0.9226530051,0.0492518002,-0.8033896472,-0.3674232328,0.1
54,5.4,-1.0244394314,0.020272285,-1.0178642634,-0.289795152,0.1
55,5.5,-1.1444275092,-0.0015643502,-1.1998807782,-0.2183663524,0.1
56,5.6,-1.2784316029,-0.017383031,-1.3400409365,-0.1581868082,0.1
57,5.7,-1.4214701655,-0.0287699538,-1.4303856265,-0.1138692279,0.1
58,5.8,-1.5680463976,-0.0376389807,-1.465762321,-0.0886902693,0.1
59,5.9,-1.7125298624,-0.0460237893,-1.4448346482,-0.0838480863,0.1
60,6.0,-1.8495615772,-0.0558458492,-1.3703171477,-0.0982205991,0.1
61,6.1,-1.97439625,-0.068718052,-1.2483467277,-0.1287220278,0.1
62,6.2,-2.0831238956,-0.0858237162,-1.0872764564,-0.171056642,0.1
63,6.3,-2.1727604932,-0.1078753766,-0.8963659759,-0.2205166038,0.1
64,6.4,-2.2412378035,-0.1351284653,-0.6847731034,-0.272530887,0.1
65,6.5,-2.2873409016,-0.1674137861,-0.4610309809,-0.3228532077,0.1
66,6.6,-2.3106388218,-0.2041585192,-0.2329792022,-0.3674473306,0.1
67,6.7,-2.3114376966,-0.24438063,-0.0079887476,-0.4022211083,0.1
68,6.8,-2.2907655101,-0.2866588861,0.2067218647,-0.4227825608,0.1
69,6.9,-2.2504119513,-0.3290626124,0.4035355884,-0.4240372633,0.1
70,7.0,-2.1929434262,-0.369125144,0.5746852514,-0.4006253161,0.1
71,7.1,-2.121625825,-0.4039284282,0.7131760124,-0.3480328421,0.1
72,7.2,-2.040283836,-0.4302666017,0.8134198904,-0.2633817346,0.1
73,7.3,-1.953067377,-0.4449122486,0.8721645904,-0.1464564692,0.1
74,7.4,-1.8641377032,-0.4449649338,0.8892967381,-0.0005268516,0.1
75,7.5,-1.7773155277,-0.4282309787,0.8682217554,0.167339551,0.1
76,7.6,-1.695753094,-0.3935998332,0.8156243366,0.3463114547,0.1
77,7.7,-1.6216938431,-0.3413074934,0.7405925094,0.5229233979,0.1
78,7.8,-1.5563641308,-0.2729858569,0.6532971227,0.6832163646,0.1
79,7.9,-1.5000089309,-0.1915278756,0.563551999,0.8145798127,0.1
80,8.0,-1.4520526998,-0.1007883839,0.4795623113,0.9073949165,0.1
81,8.1,-1.4113440181,-0.0051827588,0.4070868173,0.9560562512,0.1
82,8.2,-1.3764332268,0.09074071,0.3491079135,0.9592346876,0.1
83,8.3,-1.3458354804,0.1826853217,0.3059774643,0.9194461166,0.1
84,8.4,-1.318243886,0.2668990976,0.2759159443,0.8421377585,0.1
85,8.5,-1.292673753,0.3403553742,0.2557013305,0.734562766,0.1
86,8.6,-1.2685347795,0.4008243105,0.2413897354,0.604689363,0.1
87,8.7,-1.2456400703,0.4468558203,0.228947092,0.460315098,0.1
88,8.8,-1.2241679589,0.4777026635,0.2147211137,0.3084684325,0.1
89,8.9,-1.2045949958,0.493213283,0.1957296306,0.1551061955,0.1
90,9.0,-1.1876172997,0.4937199898,0.1697769611,0.0050670678,0.1
91,9.1,-1.1740740391,0.4799416077,0.1354326056,-0.137783821,0.1
92,9.2,-1.1648821907,0.45293652,0.0919184835,-0.2700508765,0.1
93,9.3,-1.1609859998,0.4140729336,0.0389619089,-0.3886358642,0.1
94,9.4,-1.1633201099,0.364991955,-0.0233411009,-0.490809786,0.1
95,9.5,-1.1727811797,0.3075960842,-0.0946106976,-0.5739587077,0.1
96,9.6,-1.1901946097,0.2440333783,-0.1741342997,-0.6356270591,0.1
97,9.7,-1.2162755816,0.1766689367,-0.2608097191,-0.6736444163,0.1
98,9.8,-1.2515727298,0.1080241708,-0.3529714819,-0.6864476586,0.1
99,9.9,-1.2963892717,0.0406722203,-0.4481654192,-0.6735195048,0.1
100,10.0,-1.3506855287,-0.0229099328,-0.5429625705,-0.6358215307,0.1
101,10.1,-1.4139759228,-0.0805185864,-0.6329039413,-0.5760865357,0.1
102,10.2,-1.4852421647,-0.1304023079,-0.7126624193,-0.4988372152,0.1
103,10.3,-1.5628882817,-0.1714077615,-0.7764611698,-0.4100545359,0.1
104,10.4,-1.6447592176,-0.2030595266,-0.8187093586,-0.3165176514,0.1
105,10.5,-1.7282324435,-0.2255540552,-0.8347322587,-0.2249452863,0.1
106,10.6,-1.8103746546,-0.2396680947,-0.8214221106,-0.141140395,0.1
107,10.7,-1.8881395218,-0.2466020895,-0.7776486724,-0.0693399482,0.1
108,10.8,-1.9585739682,-0.2477918522,-0.7043444642,-0.0118976267,0.1
109,10.9,-2.0190024656,-0.2447232984,-0.6042849738,0.0306855384,0.1
110,11.0,-2.0671694133,-0.2387778445,-0.4816694766,0.0594545394,0.1
111,11.1,-2.101333439,-0.231119768,-0.3416402575,0.0765807652,0.1
112,11.2,-2.1203187959,-0.2226241302,-0.1898535692,0.0849563775,0.1
113,11.3,-2.1235347642,-0.2138449847,-0.0321596825,0.087791455,0.1
114,11.4,-2.1109740871,-0.2050132014,0.1256067712,0.0883178329,0.1
115,11.5,-2.083209805,-0.1960442702,0.2776428215,0.0896893121,0.1
116,11.6,-2.0413850874,-0.1865592546,0.4182471761,0.0948501563,0.1
117,11.7,-1.9871500822,-0.1759608176,0.5423500517,0.1059843697,0.1
118,11.8,-1.9225816644,-0.1635229248,0.6456841784,0.1243789283,0.1
