,time,theta,phi,theta_dot,phi_dot,timestep
0,0.0,0.0,0.0,0.0,0.0,0.1
1,0.1,-0.0392316327,0.016346354,-0.3923163274,0.16346354,0.1
2,0.2,-0.1176271742,0.0489803012,-0.7839554153,0.3263394721,0.1
3,0.3,-0.2346689025,0.0974527621,-1.1704172831,0.4847246085,0.1
4,0.4,-0.3887358396,0.1603598943,-1.5406693709,0.629071322,0.1
5,0.5,-0.5762964844,0.2346567635,-1.8756064481,0.7429686924,0.1
6,0.6,-0.7911810082,0.3150744448,-2.1488452377,0.8041768126,0.1
7,0.7,-1.0243097498,0.3940008256,-2.3312874164,0.7892638081,0.1
8,0.8,-1.2642458115,0.4621656999,-2.399360617,0.6816487433,0.1
9,0.9,-1.4986315153,0.5101537006,-2.3438570383,0.4798800071,0.1
10,1.0,-1.7160645486,0.5302642461,-2.1743303331,0.2011054547,0.1
11,1.1,-1.9076709482,0.5179533119,-1.9160639962,-0.1231093419,0.1
12,1.2,-2.0678311823,0.4723192947,-1.6016023415,-0.4563401718,0.1
13,1.3,-2.1940201259,0.3956324169,-1.2618894363,-0.7668687783,0.1
14,1.4,-2.2861038913,0.2923119408,-0.9208376543,-1.0332047606,0.1
15,1.5,-2.345508014,0.1678287104,-0.5940412266,-1.2448323044,0.1
16,1.6,-2.3745389265,0.0278581453,-0.2903091254,-1.3997056509,0.1
17,1.7,-2.3759704234,-0.1221923094,-0.0143149693,-1.5005045475,0.1
18,1.8,-2.3528842419,-0.2773076258,0.2308618148,-1.5511531639,0.1
19,1.9,-2.3086902422,-0.4327470779,0.4419399973,-1.5543945205,0.1
20,2.0,-2.2472298084,-0.5838134949,0.6146043384,-1.5106641703,0.1
21,2.1,-2.1728684679,-0.7256314749,0.7436134052,-1.4181798001,0.1
22,2.2,-2.0905011914,-0.8530297995,0.8236727655,-1.2739832464,0.1
23,2.3,-2.0054236009,-0.9605855026,0.8507759046,-1.0755570306,0.1
24,2.4,-1.9230613082,-1.0428424339,0.8236229273,-0.8225693129,0.1
25,2.5,-1.8485891959,-1.0946743176,0.7447211229,-0.518318837,0.1
26,2.6,-1.7864998882,-1.1117331553,0.6208930766,-0.1705883768,0.1
27,2.7,-1.7401871106,-1.0909160859,0.4631277762,0.2081706945,0.1
28,2.8,-1.7115975651,-1.0307939452,0.2858954548,0.601221407,0.1
29,2.9,-1.7009866087,-0.9319596059,0.1061095641,0.9883433933,0.1
30,3.0,-1.7068008392,-0.7972608955,-0.0581423049,1.3469871042,0.1
31,3.1,-1.7257080202,-0.631878705,-0.1890718101,1.6538219051,0.1
32,3.2,-1.7527945225,-0.4432049251,-0.2708650234,1.8867377986,0.1
33,3.3,-1.7819417727,-0.2404814488,-0.2914725022,2.0272347631,0.1
34,3.4,-1.8063706927,-0.0341898843,-0.2442892003,2.0629156449,0.1
35,3.5,-1.8193118787,0.1647715564,-0.1294118596,1.9896144069,0.1
36,3.6,-1.8147314573,0.346037497,0.0458042137,1.8126594061,0.1
37,3.7,-1.7880278565,0.5007291371,0.2670360081,1.5469164013,0.1
38,3.8,-1.7366131975,0.6222786377,0.5141465897,1.2154950063,0.1
39,3.9,-1.6602978185,0.7070007675,0.7631537905,0.8472212977,0.1
40,4.0,-1.5614047813,0.7543148567,0.9889303718,0.4731408916,0.1
41,4.1,-1.4445628614,0.76656385,1.1684191992,0.122489933,0.1
42,4.2,-1.3161776952,0.748445881,1.2838516622,-0.18117969,0.1
43,4.3,-1.1836622496,0.7061638189,1.3251544564,-0.4228206215,0.1
44,4.4,-1.0545871572,0.646477919,1.290750924,-0.5968589988,0.1
45,4.5,-0.9359381557,0.5758687826,1.1864900148,-0.7060913639,0.1
46,4.6,-0.8336176351,0.4999614366,1.0232052059,-0.75907346,0.1
47,4.7,-0.752228578,0.423257051,0.8138905715,-0.7670438565,0.1
48,4.8,-0.6950881206,0.3491235459,0.5714045743,-0.7413350514,0.1
49,4.9,-0.6643721625,0.2799475593,0.3071595808,-0.6917598657,0.1
50,5.0,-0.6612926978,0.2173481002,0.0307946469,-0.6259945911,0.1
51,5.1,-0.6862355936,0.1623756722,-0.2494289577,-0.5497242797,0.1
52,5.2,-0.7388193353,0.1156500208,-0.5258374172,-0.4672565142,0.1
53,5.3,-0.817866407,0.0774163833,-0.790470717,-0.3823363747,0.1
54,5.4,-0.9213082474,0.0475246268,-1.0344184037,-0.2989175653,0.1
55,5.5,-1.0460728264,0.025360287,-1.2476457895,-0.2216433978,0.1
56,5.6,-1.188025855,0.0097787346,-1.4195302863,-0.1558155244,0.1
57,5.7,-1.3420399066,-0.0008968596,-1.5401405159,-0.1067559419,0.1
58,5.8,-1.5022369811,-0.0087692787,-1.6019707451,-0.0787241909,0.1
59,5.9,-1.66239008,-0.016152056,-1.6015309893,-0.0738277732,0.1
60,6.0,-1.8164032714,-0.0252966566,-1.5401319138,-0.0914460059,0.1
61,6.1,-1.9587556973,-0.0381415074,-1.4235242592,-0.1284485077,0.1
62,6.2,-2.0848144792,-0.0561478119,-1.2605878185,-0.1800630452,0.1
63,6.3,-2.1909802229,-0.080241727,-1.0616574374,-0.2409391511,0.1
64,6.4,-2.2746901981,-0.1108369288,-0.8370997524,-0.3059520182,0.1
65,6.5,-2.3343393627,-0.1478890088,-0.5964916455,-0.3705207998,0.1
66,6.6,-2.3691826502,-0.190936304,-0.3484328755,-0.430472952,0.1
67,6.7,-2.3792642411,-0.2391001434,-0.1008159089,-0.4816383943,0.1
68,6.8,-2.3653941529,-0.2910399104,0.1387008822,-0.5193976703,0.1
69,6.9,-2.3291673721,-0.3448790512,0.3622678079,-0.5383914079,0.1
70,7.0,-2.2729990193,-0.3981355752,0.5616835275,-0.5325652404,0.1
71,7.1,-2.2001328768,-0.4477031167,0.7286614246,-0.4956754151,0.1
72,7.2,-2.1145742031,-0.4899319954,0.8555867372,-0.4222887872,0.1
73,7.3,-2.0209068641,-0.5208477766,0.9366733897,-0.3091578124,0.1
74,7.4,-1.9239824256,-0.5365141621,0.9692443855,-0.1566638552,0.1
75,7.5,-1.8285096359,-0.5335028232,0.9547278969,0.0301133894,0.1
76,7.6,-1.7386117418,-0.509390309,0.8989789407,0.2411251424,0.1
77,7.7,-1.6574386661,-0.463180054,0.8117307568,0.46210255,0.1
78,7.8,-1.5869121036,-0.395556385,0.7052656253,0.6762366895,0.1
79,7.9,-1.5276490954,-0.3089136766,0.5926300817,0.8664270838,0.1
80,8.0,-1.4790680036,-0.2071534863,0.4858109179,1.0176019032,0.1
81,8.1,-1.4396440998,-0.0952901328,0.3942390381,1.118633535,0.1
82,8.2,-1.4072582513,0.0210605736,0.3238584849,1.1635070637,0.1
83,8.3,-1.3795736648,0.1362200254,0.2768458647,1.1515945182,0.1
84,8.4,-1.3543810346,0.2449295248,0.2519263016,1.0870949944,0.1
85,8.5,-1.3298681862,0.3427164043,0.2451284843,0.9778687952,0.1
86,8.6,-1.3047912296,0.4261144331,0.2507695655,0.8339802884,0.1
87,8.7,-1.2785447884,0.4927401075,0.262464412,0.6662567443,0.1
88,8.8,-1.2511448102,0.5412493504,0.273999782,0.4850924287,0.1
89,8.9,-1.2231469262,0.5712114858,0.2799788402,0.2996213538,0.1
90,9.0,-1.195526582,0.582940074,0.2762034417,0.1172858821,0.1
91,9.1,-1.169545671,0.5773161241,0.2598091096,-0.0562394994,0.1
92,9.2,-1.1466258183,0.5556312784,0.2291985269,-0.2168484574,0.1
93,9.3,-1.1282421625,0.5194689323,0.1838365584,-0.3616234613,0.1
94,9.4,-1.1158444585,0.4706311681,0.1239770399,-0.4883776416,0.1
95,9.5,-1.110805305,0.4111094986,0.0503915349,-0.5952166954,0.1
96,9.6,-1.1143888732,0.3430881598,-0.0358356821,-0.6802133878,0.1
97,9.7,-1.1277283016,0.2689606685,-0.1333942841,-0.7412749125,0.1
98,9.8,-1.1517967551,0.1913346991,-0.2406845353,-0.776259694,0.1
99,9.9,-1.1873571886,0.1129988995,-0.3556043355,-0.7833579958,0.1
100,10.0,-1.2348803955,0.0368302901,-0.4752320694,-0.7616860943,0.1
101,10.1,-1.2944307013,-0.0343660902,-0.5955030577,-0.7119638025,0.1
102,10.2,-1.3655327623,-0.0980734581,-0.7110206097,-0.6370736794,0.1
103,10.3,-1.4470478077,-0.1523010018,-0.815150454,-0.5422754366,0.1
104,10.4,-1.5370973106,-0.1957916481,-0.9004950293,-0.4349064629,0.1
105,10.5,-1.6330701439,-0.2281461724,-0.9597283333,-0.3235452427,0.1
106,10.6,-1.7317328635,-0.2498266767,-0.9866271957,-0.216805043,0.1
107,10.7,-1.8294357432,-0.262034195,-0.9770287973,-0.1220751827,0.1
108,10.8,-1.9223800333,-0.2664896136,-0.9294429008,-0.0445541861,0.1
109,10.9,-2.0068965992,-0.2651697644,-0.845165659,0.0131984919,0.1
110,11.0,-2.0796889326,-0.2600531533,-0.7279233339,0.0511661107,0.1
111,11.1,-2.1380113878,-0.2529145895,-0.5832245521,0.0713856376,0.1
112,11.2,-2.1797765487,-0.2451850429,-0.417651609,0.0772954663,0.1
113,11.3,-2.2036038189,-0.2378732437,-0.2382727022,0.0731179921,0.1
114,11.4,-2.2088293767,-0.2315349995,-0.0522555781,0.0633824425,0.1
115,11.5,-2.1954957657,-0.2262753308,0.1333361099,0.0525966867,0.1
116,11.6,-2.1643311158,-0.2217741045,0.3116464993,0.0450122631,0.1
117,11.7,-2.1167176695,-0.2173335747,0.4761344628,0.0444052976,0.1
118,11.8,-2.0546408716,-0.2119522089,0.6207679791,0.0538136581,0.1
