,time,theta,phi,theta_dot,phi_dot,timestep
0,0.01,-0.0004735690284033333,0.00013826879667333333,-0.04735690284033333,0.013826879667333331,0.01
1,0.02,-0.0014176329642066666,0.0004096852798516667,-0.09440639358033333,0.027141648317833333,0.01
2,0.03,-0.0028321725302149995,0.0008142183499233334,-0.14145395660083332,0.040453307007166664,0.01
3,0.04,-0.004717157773271666,0.0013518207029583334,-0.18849852430566666,0.0537602353035,0.01
4,0.05,-0.007072546786273332,0.0020224278781,-0.23553890130016664,0.06706071751416667,0.01
5,0.06,-0.009898284006086664,0.0028259569899600004,-0.2825737219813333,0.080352911186,0.01
6,0.07,-0.013194298087936663,0.003762305146963334,-0.32960140818499994,0.09363481570033334,0.01
7,0.08,-0.016960499357019997,0.004831347556853334,-0.3766201269083333,0.106904240989,0.01
8,0.09,-0.02119677683833833,0.0060329353208733345,-0.4236277481318333,0.12015877640200001,0.01
9,0.1,-0.02590299486604166,0.007366892918570001,-0.4706218027703333,0.13339575976966667,0.01
10,0.11,-0.031078989273928326,0.008833015385558335,-0.5175994407886666,0.14661224669883333,0.01
11,0.12,-0.03672456316913666,0.010431065187061668,-0.5645573895208332,0.15980498015033331,0.01
12,0.13,-0.04283948229160332,0.012160768790618335,-0.6114919122466665,0.17297036035566665,0.01
13,0.14,-0.04942346996238832,0.014021812941991669,-0.6583987670784999,0.1861044151373333,0.01
14,0.15,-0.056476201624623315,0.016013840648995,-0.7052731662234999,0.19920277070033332,0.01
15,0.16,-0.06399729898165832,0.018136446878760003,-0.7521097357034999,0.21226062297649997,0.01
16,0.17,-0.07198632373775332,0.02038917397487,-0.7989024756094999,0.22527270961099996,0.01
17,0.18,-0.08044277094767333,0.022771506801771667,-0.8456447209919999,0.23823328269016664,0.01
18,0.19,-0.08936606198262832,0.025282867624926667,-0.8923291034955,0.2511360823155,0.01
19,0.2,-0.09875553712118165,0.027922610736420002,-0.9389475138553334,0.26397431114933334,0.01
20,0.21,-0.10861044777507832,0.030690016836978334,-0.9854910653896667,0.27674061005583334,0.01
21,0.22,-0.11892994836137499,0.033584287186815,-1.0319500586296666,0.2894270349836667,0.01
22,0.23,-0.12971308783384833,0.03660453753917667,-1.0783139472473333,0.3020250352361667,0.01
23,0.24,-0.140958800888365,0.03974979187213334,-1.1245713054516666,0.3145254332956667,0.01
24,0.25,-0.15266589885871665,0.043018975935861674,-1.1707097970351665,0.32691840637283337,0.01
25,0.26,-0.16483306032137665,0.046410910634485006,-1.2167161462659999,0.3391934698623334,0.01
26,0.27,-0.17745882142974997,0.04992430526348834,-1.2625761108373332,0.3513394629003334,0.01
27,0.28,-0.19054156600066496,0.05355775062570834,-1.3082744570915,0.3633445362220001,0.01
28,0.29,-0.20407951537817828,0.05730971205096168,-1.3537949377513332,0.3751961425253334,0.01
29,0.3,-0.21807071810217496,0.06117852234658668,-1.3991202723996665,0.3868810295625001,0.01
30,0.31,-0.23251303941176996,0.06516237470828835,-1.4442321309594999,0.39838523617016675,0.01
31,0.32,-0.24740415061607163,0.06925931562299002,-1.4891111204301666,0.4096940914701667,0.01
32,0.33,-0.2627415183675466,0.07346723779753002,-1.5337367751475,0.42079221745400003,0.01
33,0.34,-0.27852239387585825,0.07778387314940169,-1.5780875508311667,0.4316635351871667,0.01
34,0.35,-0.29474380210280493,0.08220678589781669,-1.6221408226946668,0.44229127484150005,0.01
35,0.36,-0.3114025309816466,0.08673336579558669,-1.6658728878841667,0.45265798977700006,0.01
36,0.37,-0.3284951207067766,0.09136082154431668,-1.709258972513,0.46274557487300005,0.01
37,0.38,-0.3460178531422816,0.09608617443737336,-1.7522732435505,0.47253528930566674,0.01
38,0.39,-0.3639667414004683,0.10090625227680336,-1.7948888258186666,0.4820077839430001,0.01
39,0.4,-0.38233751964376667,0.10581768361204003,-1.8370778243298334,0.49114313352366673,0.01
40,0.41,-0.40112563316564664,0.1108168923494767,-1.878811352188,0.4999208737436667,0.01
41,0.42,-0.42032622880817666,0.11590009278318503,-1.920059564253,0.5083200433708334,0.01
42,0.43,-0.4399341457756033,0.12106328509774503,-1.9607916967426666,0.516319231456,0.01
43,0.44,-0.459943906904775,0.12630225139465837,-2.000976112917167,0.5238966296913333,0.01
44,0.45,-0.48034971045442665,0.1316125522938467,-2.040580354965167,0.5310300899188334,0.01
45,0.46,-0.5011454224760283,0.1369895241613667,-2.079571202160167,0.5376971867520001,0.01
46,0.47,-0.5223245698293266,0.14242827701373004,-2.1179147353298338,0.5438752852363334,0.01
47,0.48,-0.5438803339055617,0.1479236931478517,-2.1555764076235002,0.5495416134121668,0.01
48,0.49,-0.5658055451208117,0.1534704265439317,-2.192521121525,0.5546733396080001,0.01
49,0.5,-0.5880926782407934,0.15906290308621504,-2.228713311998167,0.5592476542283334,0.01
50,0.51,-0.6107338485968,0.16469532164373504,-2.264117035600667,0.5632418557520001,0.01
51,0.52,-0.6337208092502817,0.17036165604970172,-2.298696065348167,0.5666334405966668,0.01
52,0.53,-0.6570449491607367,0.17605565801425005,-2.3324139910455,0.5694001964548334,0.01
53,0.54,-0.6806972924082018,0.18177086100069673,-2.3652343247465,0.5715202986446668,0.01
54,0.55,-0.7046684985176268,0.18750058509042006,-2.3971206109425,0.5729724089723335,0.01
55,0.56,-0.7289488639277751,0.19323794285587673,-2.428036541014833,0.5737357765456668,0.01
56,0.57,-0.7535283246421518,0.19897584625514506,-2.457946071437666,0.5737903399268335,0.01
57,0.58,-0.7783964600936518,0.20470701455494672,-2.4868135451499995,0.5731168299801668,0.01
58,0.59,-0.8035424982483185,0.21042398328209172,-2.5146038154666663,0.5716968727145001,0.01
59,0.6,-0.8289553219668335,0.21611911419610838,-2.5412823718514996,0.5695130914016667,0.01
60,0.61,-0.8546234766350352,0.2217846062682017,-2.566815466820166,0.5665492072093334,0.01
61,0.62,-0.8805351790671936,0.22741250764405171,-2.591170243215833,0.5627901375850001,0.01
62,0.63,-0.9066783276777253,0.23299472856004505,-2.614314861053166,0.5582220915993334,0.01
63,0.64,-0.9330405139088169,0.2385230551747084,-2.636218623109166,0.5528326614663335,0.01
64,0.65,-0.9596090348930386,0.24398916426928674,-2.656852098422166,0.5466109094578335,0.01
65,0.66,-0.9863709073215069,0.2493846387637684,-2.676187242846833,0.5395474494481669,0.01
66,0.67,-1.0133128824796518,0.2547009839873117,-2.6941975158144995,0.5316345223543336,0.01
67,0.68,-1.0404214624042751,0.2599296446349151,-2.710857992462333,0.5228660647603336,0.01
68,0.69,-1.0676829171073334,0.26506202233566506,-2.726145470305833,0.5132377700750003,0.01
69,0.7,-1.0950833028040068,0.2700894937517984,-2.740038569667333,0.5027471416133336,0.01
70,0.71,-1.1226084810749952,0.2750034291223784,-2.752517827098833,0.4913935370580002,0.01
71,0.72,-1.1502441388859785,0.2797952111606734,-2.763565781098333,0.4791782038295002,0.01
72,0.73,-1.17797580938059,0.28445625421031007,-2.773167049461166,0.4661043049636669,0.01
73,0.74,-1.2057888933573835,0.2889780235621534,-2.7813083976793327,0.45217693518433355,0.01
74,0.75,-1.2336686813360818,0.29335205483151505,-2.7879787978698327,0.4374031269361669,0.01
75,0.76,-1.2616003761139685,0.29756997329393836,-2.793169477788666,0.42179184624233357,0.01
76,0.77,-1.2895691157096334,0.3016235130772767,-2.7968739595664993,0.4053539783338336,0.01
77,0.78,-1.3175599965885552,0.3055045361082517,-2.799088087892166,0.38810230309750027,0.01
78,0.79,-1.34555809706309,0.309205050712975,-2.7998100474534993,0.3700514604723336,0.01
79,0.8,-1.3735485007584851,0.31271722977318833,-2.799040369539499,0.3512179060213336,0.01
80,0.81,-1.4015163200364285,0.3160334283430433,-2.7967819277943327,0.3316198569855003,0.01
81,0.82,-1.429446719268435,0.319146200635155,-2.793039923200666,0.31127722921116696,0.01
82,0.83,-1.45732493785309,0.32204831628933,-2.7878218584654992,0.2902115654175003,0.01
83,0.84,-1.4851363128736565,0.32473277584269333,-2.7811375020566658,0.26844595533633364,0.01
84,0.85,-1.5128663012958932,0.327192825325945,-2.7729988422236658,0.24600494832516698,0.01
85,0.86,-1.540500501609993,0.329421969916955,-2.763420031409999,0.2229144591010003,0.01
86,0.87,-1.5680246748253064,0.3314139865898867,-2.7524173215313326,0.19920166729316696,0.01
87,0.88,-1.595424764731913,0.3331629357053517,-2.740008990660666,0.1748949115465003,0.01
88,0.89,-1.6226869173490197,0.33466317149473007,-2.726215261710666,0.15002357893783363,0.01
89,0.9,-1.6497974994866098,0.3359093513995501,-2.7110582137589994,0.1246179904820003,0.01
90,0.91,-1.6767431163535698,0.3368964442347851,-2.6945616866959994,0.09870928352350031,0.01
91,0.92,-1.7035106281526582,0.3376197371527701,-2.6767511799088326,0.07232929179850031,0.01
92,0.93,-1.7300871656100831,0.3380748413923834,-2.657653745742499,0.045510423961333646,0.01
93,0.94,-1.7564601443949632,0.33825769680579676,-2.637297878487999,0.018285541341333648,0.01
94,0.95,-1.7826172320648699,0.33816860356622175,-2.615708766990666,-0.008909323957499684,0.01
95,0.96,-1.80854621939414,0.3378243222590484,-2.592898732926999,-0.034428130717333014,0.01
96,0.97,-1.834235443301745,0.3372218398466151,-2.568922390760499,-0.060248241243333014,0.01
97,0.98,-1.8596735647501632,0.3363585123157301,-2.5438121448418327,-0.08633275308849968,0.01
98,0.99,-1.884849577186595,0.33523206446468345,-2.517601243643166,-0.11264478510466634,0.01
99,1.0,-1.9097528137908215,0.33384058837645014,-2.490323660422666,-0.13914760882333302,0.01
100,1.01,-1.9343729535359464,0.3321825406123468,-2.4620139745124994,-0.16580477641033303,0.01
101,1.02,-1.9587000260745413,0.33025673816727846,-2.4327072538594994,-0.19258024450683303,0.01
102,1.03,-1.9827244154687462,0.3280623532340468,-2.4024389394204992,-0.21943849332316637,0.01
103,1.04,-2.0064368627885414,0.3255989068300318,-2.371244731979499,-0.2463446404014997,0.01
104,1.05,-2.0298284676076115,0.32286626134478014,-2.3391604819069993,-0.27326454852516635,0.01
105,1.06,-2.05289068843109,0.3198646120717151,-2.3062220823478325,-0.3001649273064997,0.01
106,1.07,-2.075615342093873,0.3165944777912368,-2.2724653662783325,-0.327013428047833,0.01
107,1.08,-2.09799460217215,0.3130566904759151,-2.237926007827666,-0.3537787315321663,0.01
108,1.09,-2.1200209964543113,0.3092523841913851,-2.202639428216166,-0.38043062845299963,0.01
109,1.1,-2.141687403520538,0.3051829832688018,-2.1666407066226663,-0.40694009225833294,0.01
110,1.11,-2.1629870484829294,0.3008501898263868,-2.1299644962391664,-0.4332793442414996,0.01
111,1.12,-2.1839134979403045,0.29625597071874676,-2.0926449457375,-0.45942191076399963,0.01
112,1.13,-2.204460654203578,0.2914025439931851,-2.054715626327333,-0.4853426725561663,0.01
113,1.14,-2.224622748848943,0.28629236493228843,-2.0162094645364994,-0.5110179060896664,0.01
114,1.15,-2.244394335657108,0.28092811176160176,-1.9771586808164994,-0.5364253170686664,0.01
115,1.16,-2.26377028299738,0.27531267110029345,-1.937594734027166,-0.5615440661308331,0.01
116,1.17,-2.282745765715623,0.26944912323130843,-1.8975482718243326,-0.5863547868984997,0.01
117,1.18,-2.3013162565849865,0.26334072726573843,-1.8570490869363325,-0.6108395965569997,0.01
118,1.19,-2.3194775173778166,0.2569909062739801,-1.8161260792829992,-0.634982099175833,0.01
119,1.2,-2.337225589616432,0.25040323245372675,-1.7748072238614991,-0.658767382025333,0.01
120,1.21,-2.35455678505939,0.24358141240202844,-1.7331195442958325,-0.6821820051698331,0.01
121,1.22,-2.371467675978555,0.23652927255556344,-1.6910890919164991,-0.7052139846464998,0.01
122,1.23,-2.3879550852807547,0.22925074485994346,-1.6487409302199991,-0.7278527695619997,0.01
123,1.24,-2.4040160765260747,0.22174985272534178,-1.606099124531999,-0.7500892134601664,0.01
124,1.25,-2.4196479438928797,0.2140306973220401,-1.563186736680499,-0.7719155403301664,0.01
125,1.26,-2.4348482021375997,0.20609744426566512,-1.520025824471999,-0.7933253056374997,0.01
126,1.27,-2.449614576595053,0.19795431073798178,-1.4766374457453324,-0.814313352768333,0.01
127,1.28,-2.4639449932627464,0.18960555308510513,-1.4330416667693324,-0.8348757652876664,0.01
128,1.29,-2.4778375690101715,0.1810554549310168,-1.3892575747424991,-0.855009815408833,0.01
129,1.3,-2.491290601951615,0.17230831584021347,-1.3453032941443324,-0.874713909080333,0.01
130,1.31,-2.504302562018433,0.1633684405593618,-1.3011960066818324,-0.8939875280851663,0.01
131,1.32,-2.5168720817641916,0.15424012886391347,-1.2569519745758324,-0.912831169544833,0.01
132,1.33,-2.52899794743349,0.14492766603175847,-1.2125865669298324,-0.9312462832154996,0.01
133,1.34,-2.540679090322713,0.13543531396224015,-1.1681142889223324,-0.9492352069518329,0.01
134,1.35,-2.5519145784584247,0.12576730295528182,-1.1235488135711658,-0.9668011006958329,0.01
135,1.36,-2.562703608616608,0.11592782416182683,-1.0789030158183324,-0.9839478793454995,0.01
136,1.37,-2.5730454987035665,0.1059210227134935,-1.0341890086958323,-1.000680144833333,0.01
137,1.38,-2.582939680516855,0.09575099153619017,-0.9894181813288323,-1.017003117730333,0.01
138,1.39,-2.5923856929024067,0.08542176584943517,-0.9446012385551656,-1.0329225686754995,0.01
139,1.4,-2.601383175321777,0.07493731835033518,-0.899748241936999,-1.0484447499099994,0.01
140,1.41,-2.6099318618413285,0.06430155507858018,-0.8548686519551657,-1.0635763271754994,0.01
141,1.42,-2.6180315755532084,0.05351831195640852,-0.809971371187999,-1.0783243122171662,0.01
142,1.43,-2.6256822234360717,0.042591351995275195,-0.7650647882863324,-1.092695996113333,0.01
143,1.44,-2.6328837916617083,0.03152436315897186,-0.7201568225636658,-1.1066988836303329,0.01
144,1.45,-2.639636341352095,0.020320956871103534,-0.6752549690386658,-1.120340628786833,0.01
145,1.46,-2.6459400047898183,0.008984667153240204,-0.6303663437723325,-1.133628971786333,0.01
146,1.47,-2.651794982083368,-0.002481049621393127,-0.5854977293549991,-1.146571677463333,0.01
147,1.48,-2.6572015382874983,-0.014072814375098124,-0.5406556204129991,-1.1591764753704996,0.01
148,1.49,-2.6621600009775714,-0.02578732439118645,-0.4958462690073324,-1.1714510016088329,0.01
149,1.5,-2.6666707582757296,-0.037621351816203116,-0.45107572981583244,-1.1834027425016662,0.01
150,1.51,-2.6707342573256247,-0.04957174161803978,-0.4063499049894991,-1.1950389801836663,0.01
151,1.52,-2.6743510032115814,-0.06163540901976311,-0.36167458859566576,-1.206366740172333,0.01
