,time,theta,phi,theta_dot,phi_dot,timestep
0,0.0,-0.3490658503988659,0.0,0.0,0.0,0.01
1,0.01,-0.3492271531,-5.37651e-05,-0.016130272,-0.0053765099,0.01
2,0.02,-0.3495497504,-0.0001612866,-0.032259732,-0.010752149,0.01
3,0.03,-0.3500336261,-0.000322547,-0.048387567,-0.0161260444,0.01
4,0.04,-0.3506787557,-0.0005375202,-0.0645129626,-0.021497319,0.01
5,0.05,-0.3514851067,-0.0008061711,-0.0806351019,-0.0268650897,0.01
6,0.06,-0.3524526383,-0.0011284558,-0.0967531646,-0.0322284652,0.01
7,0.07,-0.3535813016,-0.0015043212,-0.1128663265,-0.0375865441,0.01
8,0.08,-0.3548710392,-0.0019337053,-0.1289737585,-0.0429384128,0.01
9,0.09,-0.3563217855,-0.0024165367,-0.1450746257,-0.0482831437,0.01
10,0.1,-0.3579334664,-0.0029527346,-0.1611680869,-0.0536197931,0.01
11,0.11,-0.3597059993,-0.0035422086,-0.1772532934,-0.0589473991,0.01
12,0.12,-0.3616392932,-0.0041848584,-0.1933293886,-0.0642649799,0.01
13,0.13,-0.3637332483,-0.0048805737,-0.2093955068,-0.0695715319,0.01
14,0.14,-0.365987756,-0.005629234,-0.2254507728,-0.0748660276,0.01
15,0.15,-0.368402699,-0.0064307081,-0.2414943007,-0.080147414,0.01
16,0.16,-0.3709779509,-0.0072848542,-0.2575251934,-0.0854146107,0.01
17,0.17,-0.3737133763,-0.0081915193,-0.2735425417,-0.090666508,0.01
18,0.18,-0.3766088305,-0.009150539,-0.2895454236,-0.0959019653,0.01
19,0.19,-0.3796641595,-0.0101617371,-0.3055329034,-0.1011198094,0.01
20,0.2,-0.3828791998,-0.0112249254,-0.3215040309,-0.1063188327,0.01
21,0.21,-0.3862537782,-0.0123399033,-0.3374578408,-0.1114977918,0.01
22,0.22,-0.3897877117,-0.0135064574,-0.3533933518,-0.1166554058,0.01
23,0.23,-0.3934808074,-0.0147243609,-0.3693095658,-0.1217903548,0.01
24,0.24,-0.3973328621,-0.0159933737,-0.3852054672,-0.1269012786,0.01
25,0.25,-0.4013436623,-0.0173132415,-0.4010800221,-0.1319867752,0.01
26,0.26,-0.4055129841,-0.0186836955,-0.4169321777,-0.1370453994,0.01
27,0.27,-0.4098405927,-0.0201044521,-0.4327608614,-0.1420756617,0.01
28,0.28,-0.4143262425,-0.0215752124,-0.44856498,-0.1470760271,0.01
29,0.29,-0.4189696767,-0.0230956615,-0.4643434192,-0.1520449141,0.01
30,0.3,-0.4237706271,-0.0246654684,-0.4800950426,-0.1569806935,0.01
31,0.31,-0.428728814,-0.0262842853,-0.4958186911,-0.1618816875,0.01
32,0.32,-0.4338439458,-0.027951747,-0.5115131823,-0.166746169,0.01
33,0.33,-0.4391157189,-0.0296674706,-0.5271773097,-0.1715723608,0.01
34,0.34,-0.4445438173,-0.0314310549,-0.5428098418,-0.1763584348,0.01
35,0.35,-0.4501279125,-0.03324208,-0.5584095217,-0.1811025118,0.01
36,0.36,-0.4558676632,-0.0351001066,-0.5739750663,-0.1858026608,0.01
37,0.37,-0.4617627149,-0.0370046756,-0.5895051656,-0.1904568987,0.01
38,0.38,-0.4678126997,-0.0389553075,-0.604998482,-0.1950631901,0.01
39,0.39,-0.4740172362,-0.040951502,-0.6204536498,-0.1996194474,0.01
40,0.4,-0.4803759289,-0.0429927373,-0.6358692744,-0.2041235305,0.01
41,0.41,-0.4868883682,-0.0450784698,-0.6512439317,-0.2085732474,0.01
42,0.42,-0.4935541299,-0.0472081333,-0.6665761674,-0.2129663541,0.01
43,0.43,-0.5003727749,-0.0493811389,-0.6818644966,-0.2173005553,0.01
44,0.44,-0.5073438489,-0.0515968739,-0.6971074029,-0.2215735049,0.01
45,0.45,-0.5144668823,-0.053854702,-0.712303338,-0.2257828066,0.01
46,0.46,-0.5217413895,-0.0561539622,-0.7274507211,-0.2299260151,0.01
47,0.47,-0.5291668689,-0.0584939686,-0.7425479383,-0.2340006367,0.01
48,0.48,-0.5367428023,-0.0608740099,-0.757593342,-0.2380041309,0.01
49,0.49,-0.5444686548,-0.063293349,-0.7725852506,-0.2419339116,0.01
50,0.5,-0.5523438743,-0.0657512225,-0.7875219475,-0.2457873484,0.01
51,0.51,-0.5603678911,-0.0682468402,-0.8024016812,-0.2495617686,0.01
52,0.52,-0.5685401177,-0.0707793848,-0.8172226643,-0.2532544589,0.01
53,0.53,-0.5768599484,-0.0733480115,-0.8319830734,-0.2568626674,0.01
54,0.54,-0.5853267589,-0.0759518476,-0.8466810483,-0.2603836057,0.01
55,0.55,-0.5939399058,-0.0785899921,-0.8613146921,-0.2638144516,0.01
56,0.56,-0.6026987265,-0.0812615156,-0.8758820702,-0.2671523513,0.01
57,0.57,-0.6116025386,-0.0839654598,-0.8903812103,-0.2703944222,0.01
58,0.58,-0.6206506396,-0.0867008374,-0.904810102,-0.2735377558,0.01
59,0.59,-0.6298423066,-0.0894666316,-0.9191666965,-0.2765794208,0.01
60,0.6,-0.6391767957,-0.0922617963,-0.9334489062,-0.2795164664,0.01
61,0.61,-0.6486533417,-0.0950852556,-0.9476546045,-0.2823459255,0.01
