,time,theta,phi,theta_dot,phi_dot,timestep
0,0.0,-0.3490658503988659,0.0,0.0,0.0,0.01
1,0.01,-0.34922715311908087,-5.376509752333333e-05,-0.0161302720215,-0.0053765097523333335,0.01
2,0.02,-0.34954975043898084,-0.00016128658314,-0.03225973199,-0.010752148561666668,0.01
3,0.03,-0.3500336261093575,-0.00032254701763,-0.04838756703766667,-0.016126043449,0.01
4,0.04,-0.35067875573606083,-0.0005375201912733333,-0.06451296267033332,-0.021497317364333333,0.01
5,0.05,-0.35148510675559086,-0.00080617106285,-0.080635101953,-0.026865087157666667,0.01
6,0.06,-0.35245263840255586,-0.0011284556784183334,-0.0967531646965,-0.032228461556833336,0.01
7,0.07,-0.3535813016690275,-0.0015043210699483335,-0.11286632664716667,-0.037586539153000004,0.01
8,0.08,-0.35487103925578584,-0.0019337051339516668,-0.12897375867583333,-0.042938406400333334,0.01
9,0.09,-0.35632178551547916,-0.0024165364902466666,-0.14507462596933332,-0.0482831356295,0.01
10,0.1,-0.35793346638768914,-0.0029527343210066664,-0.16116808722099998,-0.053619783075999995,0.01
11,0.11,-0.3597059993259658,-0.0035422081903099998,-0.17725329382766664,-0.05894738693033333,0.01
12,0.12,-0.36163929321680915,-0.004184857844369999,-0.1933293890843333,-0.06426496540599999,0.01
13,0.13,-0.3637332482906275,-0.004880572992745,-0.2093955073818333,-0.06957151483749999,0.01
14,0.14,-0.36598775602472916,-0.005629233070744999,-0.22545077341016662,-0.07486600779999998,0.01
15,0.15,-0.36840269903832584,-0.006430706983369999,-0.24149430135966662,-0.08014739126249998,0.01
16,0.16,-0.37097795097961916,-0.007284852831083332,-0.2575251941293333,-0.0854145847713333,0.01
17,0.17,-0.3737133764049775,-0.008191517617796665,-0.27354254253583327,-0.0906664786713333,0.01
18,0.18,-0.3766088306502408,-0.00915053694143833,-0.28954542452633325,-0.09590193236416664,0.01
19,0.19,-0.37966415969418915,-0.010161734667519998,-0.30553290439483327,-0.10111977260816664,0.01
20,0.2,-0.38287920001422415,-0.011224922586164997,-0.3215040320034999,-0.10631879186449997,0.01
21,0.21,-0.38625377843429415,-0.012339900053071663,-0.3374578420069999,-0.11149774669066663,0.01
22,0.22,-0.38978771196508916,-0.01350645361490333,-0.35339335307949993,-0.11665535618316664,0.01
23,0.23,-0.3934808076365775,-0.01472435661971833,-0.3693095671488333,-0.12179030048149997,0.01
24,0.24,-0.39733286232291914,-0.015993368812939997,-0.3852054686341666,-0.12690121932216664,0.01
25,0.25,-0.4013436625598058,-0.017313235919556663,-0.4010800236886666,-0.13198671066166665,0.01
26,0.26,-0.40551298435426913,-0.018683689213169995,-0.41693217944633326,-0.13704532936133332,0.01
27,0.27,-0.40984059298702913,-0.020104445072611662,-0.43276086327599994,-0.14207558594416664,0.01
28,0.28,-0.41432624280742414,-0.021575204526843327,-0.44856498203949996,-0.14707594542316663,0.01
29,0.29,-0.41896967702099414,-0.02309565278894666,-0.46434342135699996,-0.1520448262103333,0.01
30,0.3,-0.4237706274697608,-0.024665458779971658,-0.48009504487666665,-0.15698059910249998,0.01
31,0.31,-0.4287288144052808,-0.026284274643546657,-0.495818693552,-0.16188158635749997,0.01
32,0.32,-0.4338439462545375,-0.02795173525212499,-0.5115131849256667,-0.1667460608578333,0.01
33,0.33,-0.43911571937874916,-0.029667457705808323,-0.5271773124211666,-0.1715722453683333,0.01
34,0.34,-0.44454381782514585,-0.03143104082477666,-0.5428098446396666,-0.1763583118968333,0.01
35,0.35,-0.45012791307181754,-0.033242064636261656,-0.5584095246671666,-0.18110238114849997,0.01
36,0.36,-0.4558676637656759,-0.03510008985724499,-0.5739750693858333,-0.1858025220983333,0.01
37,0.37,-0.46176271545367087,-0.03700465737392499,-0.5895051687995,-0.19045675166799997,0.01
38,0.38,-0.4678127003073009,-0.038955287719131655,-0.6049984853629999,-0.19506303452066664,0.01
39,0.39,-0.47401723684050756,-0.040951480548896656,-0.6204536533206666,-0.19961928297649997,0.01
40,0.4,-0.4803759296210992,-0.042992714119449986,-0.6358692780591666,-0.2041233570553333,0.01
41,0.41,-0.4868883689757559,-0.04507844476590165,-0.6512439354656666,-0.20857306464516664,0.01
42,0.42,-0.4935541306887392,-0.04720810638395331,-0.6665761712983332,-0.21296616180516664,0.01
43,0.43,-0.5003727756944392,-0.049381109916034976,-0.6818645005699999,-0.21730035320816665,0.01
44,0.44,-0.5073438497638425,-0.05159684284325664,-0.6971074069403332,-0.22157329272216666,0.01
45,0.45,-0.5144668831850625,-0.053854668684659976,-0.7123033421219999,-0.22578258414033334,0.01
46,0.46,-0.5217413904380809,-0.05615392650525498,-0.7274507253018332,-0.2299257820595,0.01
47,0.47,-0.5291668698638126,-0.05849393043436164,-0.7425479425731665,-0.23400039291066668,0.01
48,0.48,-0.5367428033276492,-0.06087396919586831,-0.7575933463836665,-0.23800387615066668,0.01
49,0.49,-0.5444686558776443,-0.06329330565193664,-0.7725852549994998,-0.24193364560683334,0.01
50,0.5,-0.552343875397516,-0.06575117636185497,-0.7875219519871665,-0.24578707099183333,0.01
51,0.51,-0.5603678922546043,-0.06824679115766163,-0.8024016857088331,-0.24956147958066666,0.01
52,0.52,-0.5685401189430109,-0.07077933273822663,-0.8172226688406664,-0.2532541580565,0.01
53,0.53,-0.5768599497220943,-0.07334795628349997,-0.831983077908333,-0.2568623545273333,0.01
54,0.54,-0.585326760250536,-0.07595178909065163,-0.8466810528441664,-0.26038328071516664,0.01
55,0.55,-0.5939399072161959,-0.07858993023383663,-0.8613146965659997,-0.2638141143185,0.01
56,0.56,-0.6026987279620026,-0.08126145024932663,-0.8758820745806664,-0.267152001549,0.01
57,0.57,-0.6116025401081077,-0.08396539084777996,-0.8903812146104997,-0.2703940598453333,0.01
58,0.58,-0.6206506411705893,-0.08670076465538495,-0.9048101062481664,-0.2735373807605,0.01
59,0.59,-0.6298423081769676,-0.08946655498564163,-0.919166700637833,-0.27657903302566667,0.01
60,0.6,-0.6391767972788442,-0.09226171564350663,-0.9334489101876663,-0.2795160657865,0.01
61,0.61,-0.6486533433619692,-0.0950851707636383,-0.9476546083124996,-0.28234551201316666,0.01
62,0.62,-0.6582711596540792,-0.09793581468446497,-0.9617816292109996,-0.28506439208266665,0.01
63,0.63,-0.6680294373308459,-0.10081251185972163,-0.9758277676766663,-0.28766971752566667,0.01
64,0.64,-0.6779273451203092,-0.10371409680912996,-0.989790778946333,-0.29015849494083334,0.01
65,0.65,-0.6879640289062008,-0.10663937410984496,-1.0036683785891665,-0.2925277300715,0.01
66,0.66,-0.6981386113305708,-0.10958711843018162,-1.0174582424369998,-0.29477443203366666,0.01
67,0.67,-0.7084501913961374,-0.11255607460719662,-1.0311580065566663,-0.29689561770149997,0.01
68,0.68,-0.7188978440688407,-0.11554495776953828,-1.044765267270333,-0.2988883162341666,0.01
69,0.69,-0.7294806198810824,-0.11855245350697495,-1.0582775812241663,-0.3007495737436666,0.01
70,0.7,-0.740197544536154,-0.12157721808791329,-1.0716924655071662,-0.3024764580938333,0.01
71,0.71,-0.751047618514404,-0.12461787872612995,-1.0850073978249997,-0.3040660638216666,0.01
72,0.72,-0.762029816681694,-0.12767303389788995,-1.0982198167289996,-0.30551551717599995,0.01
73,0.73,-0.7731430879007257,-0.13074125371048828,-1.1113271219031662,-0.3068219812598333,0.01
74,0.74,-0.7843863546458857,-0.1338210803231816,-1.1243266745159994,-0.30798266126933327,0.01
75,0.75,-0.795758512622204,-0.13691102842133826,-1.1372157976318327,-0.3089948098156666,0.01
76,0.76,-0.8072584303891424,-0.14000958574456326,-1.1499917766938326,-0.30985573232249997,0.01
77,0.77,-0.8188849489898907,-0.14311521366938992,-1.1626518600748326,-0.3105627924826666,0.01
78,0.78,-0.8306368815868891,-0.14622634784699826,-1.1751932596998325,-0.3111134177608333,0.01
79,0.79,-0.8425130131043458,-0.14934139889635326,-1.1876131517456658,-0.31150510493549993,0.01
80,0.8,-0.8545120998785124,-0.15245875315292992,-1.1999086774166658,-0.3117354256576666,0.01
81,0.81,-0.8666328693165474,-0.15557677347308324,-1.2120769438034993,-0.31180203201533324,0.01
82,0.82,-0.8788740195647741,-0.15869380009398656,-1.224115024822666,-0.31170266209033326,0.01
83,0.83,-0.8912342191872223,-0.1618081515488649,-1.2360199622448327,-0.31143514548783324,0.01
84,0.84,-0.9037121068553123,-0.1649181256371349,-1.2477887668089993,-0.3109974088269999,0.01
85,0.85,-0.9163062910496007,-0.1680220004488449,-1.2594184194288327,-0.3103874811709999,0.01
86,0.86,-0.9290153497745007,-0.1711180354426999,-1.2709058724899993,-0.3096034993854999,0.01
