,time,theta,phi,theta_dot,phi_dot,timestep
0,0.0,0.0,0.0,0.0,0.0,0.01
1,0.01,-0.00039231632740000004,0.00016346353995,-0.03923163274,0.016346353995,0.01
2,0.02,-0.0011769489370416668,0.00049039058066,-0.07846326096416667,0.032692704071,0.01
3,0.03,-0.0023538974676850003,0.0009807808086466667,-0.11769485306433333,0.04903902279866666,0.01
4,0.04,-0.003923160700148334,0.0016346331658916666,-0.15692632324633332,0.0653852357245,0.01
5,0.05,-0.005884735744521667,0.002451945144521667,-0.19615750443733332,0.081731197863,0.01
6,0.06,-0.008238616956475,0.003432711846375,-0.2353881211953333,0.09807667018533334,0.01
7,0.07,-0.010984794582710001,0.004576924807540001,-0.27461776262349996,0.11442129611650001,0.01
8,0.08,-0.014123253135625,0.005884570587901667,-0.31384585529149994,0.13076457803616667,0.01
9,0.09,-0.017653969497311666,0.007355629125855001,-0.3530716361686666,0.14710585379533334,0.01
10,0.1,-0.021576910753138334,0.008990071858368334,-0.39229412558266663,0.16344427325133334,0.01
11,0.11,-0.02589203175517,0.010787859606718334,-0.4315121002031666,0.17977877483500002,0.01
12,0.12,-0.030599272415926665,0.012748940228316668,-0.4707240660756666,0.19610806215983334,0.01
13,0.13,-0.035698554733056664,0.014873246035200002,-0.509928231713,0.21243058068833334,0.01
14,0.14,-0.041189779545721665,0.01716069098000167,-0.5491224812665,0.22874449448016668,0.01
15,0.15,-0.04707282302377333,0.019611167610393335,-0.5883043478051666,0.24504766303916667,0.01
16,0.16,-0.05334753289102166,0.02222454379327,-0.6274709867248333,0.26133761828766666,0.01
17,0.17,-0.06001372438424833,0.025000659210315,-0.6666191493226666,0.2776115417045,0.01
18,0.18,-0.067071175950005,0.027939321626888333,-0.7057451565756666,0.2938662416573333,0.01
19,0.19,-0.07451962468165167,0.031040302936613334,-0.7448448731646666,0.3100981309725,0.01
20,0.2,-0.08235876149958667,0.03430333498454167,-0.7839136817935,0.3263032047928333,0.01
21,0.21,-0.09058822607812334,0.037728105172245,-0.8229464578536666,0.3424770187703333,0.01
22,0.22,-0.09920760152316167,0.04131425184882167,-0.8619375445038333,0.35861466765766664,0.01
23,0.23,-0.108216408805345,0.045061359492405,-0.9008807282183333,0.3747107643583333,0.01
24,0.24,-0.11761410095423333,0.048968953687513334,-0.9397692148888334,0.39075941951083326,0.01
25,0.25,-0.12740005701977666,0.05303649590428667,-0.9785956065543333,0.40675422167733327,0.01
26,0.26,-0.13757357580821,0.057263378086585,-1.0173518788433333,0.42268821822983327,0.01
27,0.27,-0.14813386940050333,0.061648917056756666,-1.0560293592293333,0.4385538970171666,0.01
28,0.28,-0.15908005646240833,0.06619234874587,-1.0946187061905,0.4543431689113333,0.01
29,0.29,-0.17041115535631332,0.070892822259265,-1.1331098893904998,0.4700473513395,0.01
30,0.3,-0.18212607706617331,0.07574939378836834,-1.1714921709859998,0.48565715291033335,0.01
31,0.31,-0.19422361794806997,0.08076102038085835,-1.2097540881896665,0.501162659249,0.01
32,0.32,-0.2067024523201533,0.08592655358254335,-1.2478834372083332,0.5165533201685001,0.01
33,0.33,-0.21956112490710164,0.09124473296555169,-1.2858672586948332,0.5318179383008335,0.01
34,0.34,-0.2327980431556,0.09671417955883169,-1.3236918248498333,0.5469446593280001,0.01
35,0.35,-0.24641146943882833,0.10233338919827835,-1.3613426283228334,0.5619209639446667,0.01
36,0.36,-0.26039951316934834,0.10810072581527168,-1.3988043730520001,0.5767336616993334,0.01
37,0.37,-0.27476012284141,0.11401441468392834,-1.4360609672061668,0.5913688868656667,0.01
38,0.38,-0.289491078025175,0.12007253564875667,-1.4730955183765002,0.6058120964828334,0.01
39,0.39,-0.304589981337015,0.12627301635601668,-1.5098903311840002,0.6200480707260001,0.01
40,0.4,-0.32005425041156166,0.13261362551358669,-1.5464269074546668,0.6340609157570001,0.01
41,0.41,-0.3358811099028333,0.139091966205615,-1.5826859491271668,0.6478340692028334,0.01
42,0.42,-0.35206758354332335,0.14570546928980335,-1.618647364049,0.6613503084188334,0.01
43,0.43,-0.36861048629150833,0.15245138690660837,-1.6542902748185,0.6745917616805001,0.01
44,0.44,-0.38550641659972834,0.15932678613109336,-1.689593030822,0.6875399224485,0.01
45,0.45,-0.402751748835875,0.16632854279953835,-1.7245332236146667,0.7001756668445,0.01
46,0.46,-0.4203426258936783,0.1734533355441767,-1.7590877057803334,0.7124792744638334,0.01
47,0.47,-0.43827495202771666,0.18069764007069003,-1.7932326134038334,0.7244304526513334,0.01
48,0.48,-0.45654438595040164,0.18805772371409338,-1.8269433922685,0.7360083643403335,0.01
49,0.49,-0.4751463342292933,0.19552964030968337,-1.8601948278891667,0.7471916595590001,0.01
50,0.5,-0.49407594502395996,0.2031092254164517,-1.8929610794666667,0.7579585106768335,0.01
51,0.51,-0.5133281022023216,0.2107920919309967,-1.9252157178361666,0.7682866514545001,0.01
52,0.52,-0.5328974198770167,0.2185736261304367,-1.9569317674695,0.7781534199440001,0.01
53,0.53,-0.5527782374025534,0.22644898418302004,-1.9880817525536667,0.7875358052583334,0.01
54,0.54,-0.5729646148741617,0.23441308916506837,-2.018637747160833,0.7964104982048335,0.01
55,0.55,-0.5934503291691301,0.2424606286226917,-2.048571429496833,0.8047539457623335,0.01
56,0.56,-0.6142288705708767,0.25058605271612,-2.0778541401746664,0.8125424093428335,0.01
