,time,theta,phi,theta_dot,phi_dot,timestep
0,0.0,0.0,0.0,0.0,0.0,0.01
1,0.01,-0.00039231497680833333,0.00016346180986666665,-0.03923149768083333,0.016346180986666663,0.01
2,0.02,-0.001176936781855,0.0004903750101616666,-0.07846218050466666,0.032691320029499996,0.01
3,0.03,-0.0023538488477566665,0.000980718528168333,-0.11769120659016666,0.04903435180066666,0.01
4,0.04,-0.003923025647911666,0.0016344601703099997,-0.1569176800155,0.06537416421416667,0.01
5,0.05,-0.0058844318860599995,0.0024515559210016667,-0.19614062381483333,0.08170957506916667,0.01
6,0.06,-0.008238021416035,0.0034319490082216665,-0.23535895299749998,0.09803930872200001,0.01
7,0.07,-0.010983735892041666,0.004575568736218333,-0.27457144760066665,0.11436197279966667,0.01
8,0.08,-0.014121503149851666,0.005882329085855,-0.31377672578099997,0.13067603496366667,0.01
9,0.09,-0.017651235319481665,0.007352127083269999,-0.352973216963,0.1469797997415,0.01
10,0.1,-0.021572826670026666,0.008984840937688332,-0.3921591350545,0.16327138544183334,0.01
11,0.11,-0.025886151187521668,0.010780327949369999,-0.4313324517495,0.17954870116816668,0.01
12,0.12,-0.030591059886890003,0.012738422188978332,-0.47049086993683337,0.19580942396083334,0.01
13,0.13,-0.03568737785922667,0.014858931949783332,-0.5096317972336667,0.2120509760805,0.01
14,0.14,-0.04117490105602667,0.0171416369745,-0.54875231968,0.22827050247166666,0.01
15,0.15,-0.04705339281216167,0.019586285458798335,-0.5878491756135,0.24446484842983332,0.01
16,0.16,-0.05332258010981167,0.022192590833928334,-0.6269187297650001,0.26063053751299997,0.01
17,0.17,-0.05998214958596667,0.024960228331253335,-0.6659569476155001,0.27676374973249995,0.01
18,0.18,-0.06703174328648,0.027888831331965,-0.7049593700513334,0.2928603000711666,0.01
19,0.19,-0.07447095417021334,0.03097798750573833,-0.7439210883733334,0.30891561737733325,0.01
20,0.2,-0.08229932136729166,0.03422723474257833,-0.7828367197078334,0.32492472368399994,0.01
21,0.21,-0.09051632519613834,0.037636056882758326,-0.8217003828846667,0.34088221401799995,0.01
22,0.22,-0.09912138194455834,0.04120387925036166,-0.860505674842,0.35678223676033327,0.01
23,0.23,-0.10811383842088168,0.04493006399665166,-0.8992456476323334,0.37261847462899994,0.01
24,0.24,-0.11749296628193835,0.048813905260229995,-0.9379127861056668,0.38838412635783326,0.01
25,0.25,-0.12725795614545501,0.05285462415177166,-0.9764989863516668,0.4040718891541666,0.01
26,0.26,-0.13740791149536336,0.057051363571998324,-1.0149955349908335,0.41967394202266656,0.01
27,0.27,-0.14794184238949837,0.06140318287244499,-1.0533930894135002,0.43518193004466654,0.01
28,0.28,-0.15885865898010837,0.06590905236960999,-1.0916816590610001,0.4505869497164999,0.01
29,0.29,-0.17015716485874172,0.07056784772404832,-1.1298505878633334,0.4658795354438332,0.01
30,0.3,-0.18183605023815505,0.07537834419710832,-1.1678885379413333,0.48104964730599986,0.01
31,0.31,-0.1938938849851417,0.08033921079912665,-1.2057834746986666,0.4960866602018332,0.01
32,0.32,-0.20632911151935338,0.08544900434408165,-1.2435226534211667,0.5109793544954998,0.01
33,0.33,-0.21914003759450837,0.09070616342694164,-1.2810926075155,0.5257159082859998,0.01
34,0.34,-0.23232482897974005,0.09610900234117498,-1.3184791385231667,0.5402838914233331,0.01
35,0.35,-0.2458815020601834,0.10165570495521165,-1.3556673080443333,0.5546702614036665,0.01
36,0.36,-0.2598079163772917,0.10734431856796664,-1.3926414317108333,0.5688613612754998,0.01
37,0.37,-0.2741017671308484,0.11317274776482497,-1.4293850753556667,0.5828429196858331,0.01
38,0.38,-0.28876057766602836,0.11913874829685497,-1.465881053518,0.5966000532029998,0.01
39,0.39,-0.30378169197037336,0.12523992100737663,-1.5021114304345,0.6101172710521665,0.01
40,0.4,-0.31916226720693835,0.13147370583124662,-1.5380575236565,0.6233784823869999,0.01
41,0.41,-0.3348992663113017,0.13783737589360662,-1.5736999104363332,0.6363670062359998,0.01
42,0.42,-0.350989450681565,0.14432803173602496,-1.6090184370263332,0.6490655842418331,0.01
43,0.43,-0.3674293729917633,0.15094259569921328,-1.6439922310198332,0.6614563963188331,0.01
44,0.44,-0.384215370160435,0.15767780649258495,-1.6785997168671665,0.6735210793371664,0.01
45,0.45,-0.40134355650733,0.16453021398199327,-1.7128186346894998,0.6852407489408331,0.01
46,0.46,-0.41880981713229,0.1714961742279216,-1.7466260624959997,0.6965960245928331,0.01
47,0.47,-0.4366098015514533,0.17857184480726326,-1.779998441916333,0.7075670579341664,0.01
48,0.48,-0.45473891762673996,0.18575318045246492,-1.8129116075286664,0.7181335645201664,0.01
49,0.49,-0.47319232582535165,0.19303592904241493,-1.8453408198611665,0.7282748589949998,0.01
50,0.5,-0.491964933846625,0.2004156279797749,-1.8772608021273332,0.7379698937359997,0.01
51,0.51,-0.5110513916539333,0.20788760098969658,-1.9086457807308332,0.7471973009921664,0.01
52,0.52,-0.5304460869495733,0.21544695537483158,-1.9394695295639999,0.7559354385134998,0.01
