,time,theta,phi,theta_dot,phi_dot,timestep
0,0.0,-0.6981317007977318,0.0,0.0,0.0,0.01
1,0.01,-0.6984320999,0.0001250498,-0.0300399063,0.0125049798,0.01
2,0.02,-0.6990327909,0.0003750659,-0.0600691049,0.0250016062,0.01
3,0.03,-0.6999335623,0.0007498844,-0.090077136,0.0374818507,0.01
4,0.04,-0.7011340976,0.0012492611,-0.1200535261,0.0499376743,0.01
5,0.05,-0.7026339754,0.0018728713,-0.1499877803,0.062361022,0.01
6,0.06,-0.7044326692,0.0026203095,-0.1798693758,0.0747438174,0.01
7,0.07,-0.7065295467,0.0034910891,-0.2096877546,0.0870779575,0.01
8,0.08,-0.7089238699,0.0044846422,-0.2394323173,0.0993553077,0.01
9,0.09,-0.7116147941,0.0056003192,-0.2690924164,0.111567697,0.01
10,0.1,-0.7146013676,0.0068373883,-0.2986573504,0.1237069135,0.01
11,0.11,-0.7178825312,0.0081950353,-0.3281163579,0.1357647001,0.01
12,0.12,-0.7214571173,0.0096723628,-0.3574586125,0.147732751,0.01
13,0.13,-0.7253238495,0.0112683899,-0.3866732177,0.1596027077,0.01
14,0.14,-0.7294813415,0.0129820515,-0.4157492023,0.1713661565,0.01
15,0.15,-0.7339280967,0.0148121978,-0.4446755166,0.1830146255,0.01
16,0.16,-0.738662507,0.0167575936,-0.4734410288,0.1945395829,0.01
17,0.17,-0.7436828522,0.018816918,-0.5020345223,0.2059324351,0.01
18,0.18,-0.7489872991,0.0209887633,-0.5304446932,0.2171845261,0.01
19,0.19,-0.7545739006,0.0232716347,-0.5586601488,0.2282871367,0.01
20,0.2,-0.7604405947,0.0256639495,-0.5866694064,0.2392314849,0.01
21,0.21,-0.7665852036,0.0281640368,-0.6144608933,0.2500087268,0.01
22,0.22,-0.7730054331,0.0307701364,-0.6420229471,0.2606099581,0.01
23,0.23,-0.7796988713,0.0334803986,-0.6693438169,0.2710262163,0.01
24,0.24,-0.786662988,0.0362928834,-0.6964116653,0.2812484836,0.01
25,0.25,-0.7938951337,0.0392055603,-0.7232145712,0.2912676907,0.01
26,0.26,-0.801392539,0.0422163075,-0.7497405335,0.3010747212,0.01
27,0.27,-0.8091523138,0.0453229117,-0.7759774754,0.3106604166,0.01
28,0.28,-0.8171714463,0.0485230675,-0.8019132497,0.3200155825,0.01
29,0.29,-0.8254468028,0.0518143775,-0.8275356453,0.3291309953,0.01
30,0.3,-0.8339751267,0.0551943516,-0.852832394,0.3379974097,0.01
31,0.31,-0.8427530385,0.0586604073,-0.8777911785,0.3466055672,0.01
32,0.32,-0.8517770349,0.0622098694,-0.9023996413,0.3549462051,0.01
33,0.33,-0.8610434888,0.0658399701,-0.9266453945,0.3630100663,0.01
34,0.34,-0.8705486491,0.0695478492,-0.9505160302,0.3707879104,0.01
35,0.35,-0.8802886404,0.0733305544,-0.9739991324,0.3782705249,0.01
36,0.36,-0.8902594633,0.0771850418,-0.997082289,0.3854487374,0.01
37,0.37,-0.9004569944,0.0811081761,-1.0197531051,0.3923134287,0.01
38,0.38,-0.9108769866,0.0850967316,-1.0419992172,0.3988555465,0.01
39,0.39,-0.9215150697,0.0891473928,-1.0638083079,0.4050661197,0.01
40,0.4,-0.9323667509,0.0932567555,-1.0851681215,0.4109362734,0.01
41,0.41,-0.9434274157,0.0974213279,-1.1060664805,0.4164572444,0.01
42,0.42,-0.9546923287,0.1016375319,-1.1264913026,0.4216203978,0.01
43,0.43,-0.9661566349,0.1059017043,-1.1464306183,0.4264172432,0.01
44,0.44,-0.9778153608,0.1102100988,-1.1658725893,0.4308394523,0.01
45,0.45,-0.9896634161,0.1145588876,-1.1848055274,0.4348788763,0.01
46,0.46,-1.0016955952,0.1189441632,-1.2032179139,0.4385275641,0.01
47,0.47,-1.0139065794,0.123361941,-1.2210984194,0.4417777804,0.01
48,0.48,-1.0262909386,0.1278081612,-1.238435924,0.4446220244,0.01
49,0.49,-1.038843134,0.1322786917,-1.2552195378,0.4470530484,0.01
50,0.5,-1.0515575202,0.1367693305,-1.2714386217,0.4490638769,0.01
51,0.51,-1.0644283483,0.1412758088,-1.2870828084,0.4506478251,0.01
52,0.52,-1.0774497685,0.145793794,-1.3021420232,0.451798518,0.01
53,0.53,-1.0906158336,0.1503188931,-1.3166065053,0.4525099092,0.01
54,0.54,-1.1039205019,0.1548466561,-1.3304668285,0.4527762992,0.01
55,0.55,-1.1173576411,0.1593725796,-1.3437139223,0.4525923537,0.01
56,0.56,-1.130921032,0.1638921108,-1.3563390923,0.4519531216,0.01
57,0.57,-1.1446043724,0.1684006513,-1.3683340405,0.4508540524,0.01
58,0.58,-1.1584012813,0.1728935614,-1.3796908851,0.4492910132,0.01
59,0.59,-1.1723053031,0.1773661644,-1.3904021799,0.4472603049,0.01
60,0.6,-1.1863099124,0.1818137512,-1.400460933,0.444758678,0.01
61,0.61,-1.2004085187,0.1862315847,-1.4098606251,0.4417833474,0.01
62,0.62,-1.214594471,0.1906149048,-1.4185952266,0.4383320066,0.01
63,0.63,-1.2288610631,0.1949589332,-1.4266592143,0.4344028407,0.01
64,0.64,-1.243201539,0.1992588786,-1.4340475869,0.4299945387,0.01
65,0.65,-1.2576090978,0.2035099416,-1.4407558799,0.4251063047,0.01
66,0.66,-1.2720768996,0.2077073203,-1.446780179,0.4197378676,0.01
67,0.67,-1.2865980709,0.2118462152,-1.4521171325,0.4138894905,0.01
68,0.68,-1.3011657105,0.215921835,-1.4567639628,0.4075619778,0.01
69,0.69,-1.3157728953,0.2199294018,-1.4607184764,0.4007566819,0.01
70,0.7,-1.330412686,0.2238641569,-1.4639790726,0.3934755081,0.01
71,0.71,-1.3450781335,0.2277213661,-1.466544751,0.3857209185,0.01
72,0.72,-1.3597622847,0.2314963254,-1.4684151175,0.3774959342,0.01
73,0.73,-1.3744581886,0.2351843668,-1.469590389,0.3688041361,0.01
74,0.74,-1.3891589026,0.2387808634,-1.4700713966,0.3596496647,0.01
75,0.75,-1.4038574985,0.2422812356,-1.4698595873,0.3500372179,0.01
76,0.76,-1.4185470687,0.2456809561,-1.4689570244,0.3399720478,0.01
77,0.77,-1.4332207326,0.2489755557,-1.4673663861,0.3294599559,0.01
78,0.78,-1.4478716422,0.2521606286,-1.465090963,0.3185072868,0.01
79,0.79,-1.4624929887,0.2552318378,-1.4621346539,0.3071209207,0.01
80,0.8,-1.4770780083,0.2581849204,-1.4585019602,0.2953082642,0.01
81,0.81,-1.4916199881,0.2610156928,-1.4541979789,0.2830772402,0.01
82,0.82,-1.506112272,0.2637200556,-1.449228394,0.2704362761,0.01
83,0.83,-1.5205482667,0.2662939985,-1.4435994669,0.2573942908,0.01
84,0.84,-1.534921447,0.2687336053,-1.4373180252,0.2439606807,0.01
85,0.85,-1.5492253615,0.2710350583,-1.4303914503,0.2301453044,0.01
86,0.86,-1.5634536381,0.273194643,-1.4228276638,0.2159584661,0.01
87,0.87,-1.5775999892,0.275208752,-1.4146351125,0.2014108984,0.01
88,0.88,-1.5916582167,0.2770738894,-1.4058227529,0.1865137437,0.01
89,0.89,-1.605622217,0.2787866747,-1.3964000339,0.171278535,0.01
