,time,theta,phi,theta_dot,phi_dot,timestep
0,0.0,-0.6981317007977318,0.0,0.0,0.0,0.01
1,0.01,-0.6984321024,0.0001250531,-0.0300401613,0.012505309,0.01
2,0.02,-0.6990328062,0.0003750856,-0.0600703791,0.0250032515,0.01
3,0.03,-0.6999336132,0.0007499501,-0.0900807017,0.0374864546,0.01
4,0.04,-0.7011342248,0.0012494254,-0.120061161,0.0499475315,0.01
5,0.05,-0.7026342424,0.0018732161,-0.1500017644,0.0623790745,0.01
6,0.06,-0.7044331673,0.0026209526,-0.1798924866,0.0747736484,0.01
7,0.07,-0.7065303999,0.0034921904,-0.2097232622,0.0871237839,0.01
8,0.08,-0.7089252397,0.0044864101,-0.2394839778,0.099421971,0.01
9,0.09,-0.7116168843,0.0056030166,-0.2691644648,0.1116606532,0.01
10,0.1,-0.7146044292,0.0068413388,-0.2987544921,0.1238322212,0.01
11,0.11,-0.7178868668,0.0082006289,-0.3282437597,0.1359290076,0.01
12,0.12,-0.7214630857,0.0096800617,-0.3576218922,0.1479432816,0.01
13,0.13,-0.72533187,0.0112787341,-0.3868784326,0.1598672441,0.01
14,0.14,-0.7294918984,0.0129956643,-0.4160028373,0.1716930233,0.01
15,0.15,-0.7339417431,0.014829791,-0.4449844707,0.1834126708,0.01
16,0.16,-0.7386798691,0.0167799726,-0.4738126008,0.1950181581,0.01
17,0.17,-0.7437046331,0.0188449863,-0.5024763954,0.2065013735,0.01
18,0.18,-0.7490142823,0.0210235275,-0.5309649187,0.2178541201,0.01
19,0.19,-0.7546069536,0.0233142086,-0.5592671286,0.2290681136,0.01
20,0.2,-0.7604806723,0.0257155584,-0.5873718748,0.2401349814,0.01
21,0.21,-0.7666333513,0.028226021,-0.6152678974,0.2510462621,0.01
22,0.22,-0.7730627896,0.0308439551,-0.6429438263,0.2617934056,0.01
23,0.23,-0.7797666714,0.0335676328,-0.6703881814,0.272367774,0.01
24,0.24,-0.7867425651,0.0363952392,-0.6975893738,0.2827606433,0.01
25,0.25,-0.7939879222,0.0393248713,-0.7245357073,0.2929632058,0.01
26,0.26,-0.801500076,0.042354537,-0.7512153812,0.3029665733,0.01
27,0.27,-0.8092762409,0.0454821548,-0.7776164938,0.3127617811,0.01
28,0.28,-0.8173135114,0.0487055527,-0.8037270467,0.3223397928,0.01
29,0.29,-0.8256088609,0.0520224678,-0.8295349503,0.3316915059,0.01
30,0.3,-0.8341591412,0.0554305454,-0.8550280299,0.3408077584,0.01
31,0.31,-0.8429610815,0.0589273388,-0.8801940326,0.3496793361,0.01
32,0.32,-0.8520112879,0.0625103086,-0.9050206357,0.3582969809,0.01
33,0.33,-0.8613062425,0.0661768226,-0.9294954556,0.3666513998,0.01
34,0.34,-0.8708423031,0.0699241553,-0.9536060575,0.3747332748,0.01
35,0.35,-0.8806157028,0.073749488,-0.9773399666,0.3825332737,0.01
36,0.36,-0.8906225496,0.0776499086,-1.0006846797,0.3900420619,0.01
37,0.37,-0.9008588264,0.0816224117,-1.0236276779,0.3972503148,0.01
38,0.38,-0.9113203908,0.085663899,-1.0461564403,0.404148731,0.01
39,0.39,-0.9220029754,0.0897711795,-1.0682584583,0.4107280465,0.01
40,0.4,-0.9329021879,0.09394097,-1.0899212511,0.4169790495,0.01
41,0.41,-0.9440135117,0.098169896,-1.1111323818,0.422892596,0.01
42,0.42,-0.9553323064,0.1024544923,-1.1318794743,0.4284596261,0.01
43,0.43,-0.9668538087,0.1067912041,-1.152150231,0.4336711811,0.01
44,0.44,-0.9785731332,0.1111763883,-1.1719324512,0.438518421,0.01
45,0.45,-0.9904852737,0.1156063147,-1.1912140504,0.4429926425,0.01
46,0.46,-1.0025851045,0.1200771677,-1.2099830796,0.4470852979,0.01
47,0.47,-1.014867382,0.1245850478,-1.2282277458,0.4507880141,0.01
48,0.48,-1.0273267463,0.1291259739,-1.2459364326,0.4540926125,0.01
49,0.49,-1.0399577235,0.1336958852,-1.2630977215,0.4569911283,0.01
50,0.5,-1.0527547276,0.1382906435,-1.2797004133,0.4594758312,0.01
51,0.51,-1.0657120631,0.142906036,-1.2957335499,0.4615392454,0.01
52,0.52,-1.0788239275,0.1475377777,-1.3111864363,0.4631741704,0.01
53,0.53,-1.0920844141,0.1521815147,-1.3260486628,0.4643737011,0.01
54,0.54,-1.1054875154,0.1568328272,-1.3403101273,0.4651312487,0.01
55,0.55,-1.119027126,0.1614872328,-1.3539610572,0.4654405608,0.01
56,0.56,-1.1326970463,0.1661401902,-1.3669920317,0.4652957416,0.01
57,0.57,-1.1464909863,0.1707871029,-1.3793940034,0.4646912718,0.01
58,0.58,-1.1604025695,0.1754233232,-1.3911583199,0.463622028,0.01
59,0.59,-1.174425337,0.1800441562,-1.4022767451,0.4620833018,0.01
60,0.6,-1.1885527518,0.1846448644,-1.4127414797,0.4600708182,0.01
61,0.61,-1.2027782036,0.1892206719,-1.4225451812,0.4575807534,0.01
62,0.62,-1.2170950134,0.1937667694,-1.4316809834,0.4546097517,0.01
63,0.63,-1.2314964386,0.1982783188,-1.4401425152,0.451154942,0.01
64,0.64,-1.2459756778,0.2027504583,-1.4479239183,0.447213953,0.01
65,0.65,-1.2605258764,0.2071783076,-1.455019864,0.4427849275,0.01
66,0.66,-1.2751401321,0.211556973,-1.4614255694,0.4378665358,0.01
67,0.67,-1.2898115002,0.2158815529,-1.4671368121,0.4324579878,0.01
68,0.68,-1.3045329996,0.2201471433,-1.4721499438,0.426559044,0.01
69,0.69,-1.3192976186,0.2243488436,-1.4764619029,0.4201700253,0.01
70,0.7,-1.3340983209,0.2284817618,-1.4800702257,0.4132918212,0.01
71,0.71,-1.3489280515,0.2325410208,-1.4829730563,0.4059258968,0.01
72,0.72,-1.363779743,0.2365217638,-1.4851691549,0.3980742986,0.01
73,0.73,-1.3786463221,0.2404191604,-1.4866579051,0.3897396584,0.01
74,0.74,-1.3935207153,0.2442284124,-1.4874393192,0.3809251961,0.01
75,0.75,-1.4083958557,0.2479447596,-1.4875140426,0.3716347207,0.01
76,0.76,-1.4232646893,0.2515634859,-1.4868833561,0.3618726299,0.01
77,0.77,-1.4381201811,0.255079925,-1.4855491769,0.3516439082,0.01
78,0.78,-1.4529553217,0.2584894662,-1.4835140583,0.3409541232,0.01
79,0.79,-1.4677631336,0.2617875604,-1.4807811874,0.3298094208,0.01
80,0.8,-1.4825366774,0.2649697256,-1.4773543815,0.3182165183,0.01
81,0.81,-1.4972690582,0.2680315526,-1.473238083,0.3061826964,0.01
82,0.82,-1.5119534317,0.2709687105,-1.4684373526,0.2937157896,0.01
83,0.83,-1.5265830103,0.2737769523,-1.4629578611,0.2808241752,0.01
84,0.84,-1.5411510691,0.2764521199,-1.4568058801,0.2675167606,0.01
85,0.85,-1.5556509518,0.2789901496,-1.4499882705,0.2538029696,0.01
86,0.86,-1.5700760765,0.2813870769,-1.4425124705,0.2396927272,0.01
87,0.87,-1.5844199413,0.2836390413,-1.4343864818,0.2251964432,0.01
88,0.88,-1.5986761298,0.2857422912,-1.4256188545,0.2103249946,0.01
89,0.89,-1.6128383165,0.2876931883,-1.4162186713,0.1950897069,0.01
90,0.9,-1.6269002718,0.2894882116,-1.4061955301,0.1795023343,0.01
91,0.91,-1.6408558671,0.291123962,-1.3955595257,0.163575039,0.01
92,0.92,-1.6546990794,0.2925971657,-1.3843212309,0.1473203697,0.01
93,0.93,-1.6684239962,0.2939046781,-1.372491676,0.1307512392,0.01
94,0.94,-1.6820248195,0.2950434871,-1.3600823283,0.1138809015,0.01
95,0.95,-1.6954958702,0.2960107164,-1.3471050704,0.0967229279,0.01
96,0.96,-1.708831592,0.2968036282,-1.3335721781,0.079291183,0.01
97,0.97,-1.722026555,0.2974196262,-1.3194962978,0.0615998002,0.01
98,0.98,-1.7350754592,0.2978562578,-1.3048904233,0.0436631566,0.01
99,0.99,-1.7479731379,0.2981112163,-1.2897678723,0.0254958482,0.01
100,1.0,-1.7607145605,0.2981823429,-1.2741422629,0.0071126646,0.01
101,1.01,-1.7732948354,0.2980676285,-1.2580274896,-0.0114714365,0.01
102,1.02,-1.7857092124,0.297765215,-1.2414376994,-0.0302413542,0.01
103,1.03,-1.7979530851,0.2972733963,-1.2243872681,-0.0491818697,0.01
104,1.04,-1.8100219929,0.2965906196,-1.2068907762,-0.0682776708,0.01
105,1.05,-1.8219116228,0.2957154858,-1.1889629856,-0.0875133767,0.01
106,1.06,-1.833617811,0.2946467502,-1.1706188159,-0.1068735621,0.01
107,1.07,-1.8451365442,0.2933833224,-1.1518733217,-0.1263427806,0.01
108,1.08,-1.8564639609,0.2919242665,-1.1327416697,-0.1459055881,0.01
109,1.09,-1.8675963521,0.2902688008,-1.1132391166,-0.1655465651,0.01
110,1.1,-1.878530162,0.2884162974,-1.0933809875,-0.1852503387,0.01
111,1.11,-1.8892619885,0.2863662814,-1.0731826548,-0.2050016036,0.01
112,1.12,-1.8997885837,0.28411843,-1.0526595179,-0.2247851424,0.01
113,1.13,-1.9101068535,0.2816725715,-1.0318269832,-0.2445858451,0.01
114,1.14,-1.920213858,0.2790286842,-1.0107004452,-0.2643887279,0.01
115,1.15,-1.9301068107,0.2761868947,-0.9892952684,-0.2841789507,0.01
116,1.16,-1.9397830784,0.2731474764,-0.9676267696,-0.3039418342,0.01
117,1.17,-1.9492401804,0.2699108476,-0.9457102014,-0.3236628753,0.01
118,1.18,-1.9584757878,0.26647757,-0.9235607364,-0.3433277623,0.01
119,1.19,-1.9674877223,0.2628483461,-0.9011934522,-0.3629223886,0.01
